Year,State,Sex,Educational,Median_Weekly
2014,South Australia,Male,Year 11 or equivalent,0.0
2014,South Australia,Male,Year 10 or equivalent,0.0
2014,South Australia,Female,Postgraduate Degree,0.0
2014,South Australia,Female,Graduate Diploma or Certificate,0.0
2014,South Australia,Female,Bachelor Degree,0.0
2014,South Australia,Female,Advanced Diploma or Diploma,0.0
2014,South Australia,Female,Certificate III or IV,0.0
2014,South Australia,Female,Year 12 or equivalent,0.0
2014,South Australia,Female,Year 11 or equivalent,0.0
2014,South Australia,Female,Year 10 or equivalent,0.0
2014,Western Australia,Male,Postgraduate Degree,0.0
2014,Western Australia,Male,Graduate Diploma or Certificate,0.0
2014,Western Australia,Male,Bachelor Degree,0.0
2014,Western Australia,Male,Advanced Diploma or Diploma,0.0
2014,Western Australia,Male,Certificate III or IV,0.0
2014,Western Australia,Male,Year 12 or equivalent,0.0
2014,Western Australia,Male,Year 11 or equivalent,0.0
2014,Western Australia,Male,Year 10 or equivalent,0.0
2014,Western Australia,Female,Postgraduate Degree,0.0
2014,Western Australia,Female,Graduate Diploma or Certificate,0.0
2014,Western Australia,Female,Bachelor Degree,0.0
2014,Western Australia,Female,Advanced Diploma or Diploma,0.0
2014,Western Australia,Female,Certificate III or IV,0.0
2014,Western Australia,Female,Year 12 or equivalent,0.0
2014,Western Australia,Female,Year 11 or equivalent,0.0
2014,Western Australia,Female,Year 10 or equivalent,0.0
2014,Tasmania,Male,Postgraduate Degree,0.0
2014,Tasmania,Male,Graduate Diploma or Certificate,0.0
2014,Tasmania,Male,Bachelor Degree,0.0
2014,Tasmania,Male,Advanced Diploma or Diploma,0.0
2014,Tasmania,Male,Certificate III or IV,0.0
2014,Tasmania,Male,Year 12 or equivalent,0.0
2014,Tasmania,Male,Year 11 or equivalent,0.0
2014,Tasmania,Male,Year 10 or equivalent,0.0
2014,Tasmania,Female,Postgraduate Degree,0.0
2014,Tasmania,Female,Graduate Diploma or Certificate,0.0
2014,Tasmania,Female,Bachelor Degree,0.0
2014,Tasmania,Female,Advanced Diploma or Diploma,0.0
2014,Tasmania,Female,Certificate III or IV,0.0
2014,Tasmania,Female,Year 12 or equivalent,0.0
2014,Tasmania,Female,Year 11 or equivalent,0.0
2014,Tasmania,Female,Year 10 or equivalent,0.0
2014,Northern Territory,Male,Postgraduate Degree,0.0
2014,Northern Territory,Male,Graduate Diploma or Certificate,0.0
2014,Northern Territory,Male,Bachelor Degree,0.0
2014,Northern Territory,Male,Advanced Diploma or Diploma,0.0
2014,Northern Territory,Male,Certificate III or IV,0.0
2014,Northern Territory,Male,Year 12 or equivalent,0.0
2014,Northern Territory,Male,Year 11 or equivalent,0.0
2014,Northern Territory,Male,Year 10 or equivalent,0.0
2014,Northern Territory,Female,Postgraduate Degree,0.0
2014,Northern Territory,Female,Graduate Diploma or Certificate,0.0
2014,Northern Territory,Female,Bachelor Degree,0.0
2014,Northern Territory,Female,Advanced Diploma or Diploma,0.0
2014,Northern Territory,Female,Certificate III or IV,0.0
2014,Northern Territory,Female,Year 12 or equivalent,0.0
2014,Northern Territory,Female,Year 11 or equivalent,0.0
2014,Northern Territory,Female,Year 10 or equivalent,0.0
2014,Australian Capital Territory,Male,Postgraduate Degree,0.0
2014,Australian Capital Territory,Male,Graduate Diploma or Certificate,0.0
2014,Australian Capital Territory,Male,Bachelor Degree,0.0
2014,Australian Capital Territory,Male,Advanced Diploma or Diploma,0.0
2014,Australian Capital Territory,Male,Certificate III or IV,0.0
2014,Australian Capital Territory,Male,Year 12 or equivalent,0.0
2014,Australian Capital Territory,Male,Year 11 or equivalent,0.0
2014,Australian Capital Territory,Male,Year 10 or equivalent,0.0
2014,Australian Capital Territory,Female,Postgraduate Degree,0.0
2014,Australian Capital Territory,Female,Graduate Diploma or Certificate,0.0
2014,Australian Capital Territory,Female,Bachelor Degree,0.0
2014,Australian Capital Territory,Female,Advanced Diploma or Diploma,0.0
2014,Australian Capital Territory,Female,Certificate III or IV,0.0
2014,Australian Capital Territory,Female,Year 12 or equivalent,0.0
2014,Australian Capital Territory,Female,Year 11 or equivalent,0.0
2014,Australian Capital Territory,Female,Year 10 or equivalent,0.0
2014,Total,Male,Postgraduate Degree,0.0
2014,Total,Male,Graduate Diploma or Certificate,0.0
2014,Total,Male,Bachelor Degree,0.0
2014,Total,Male,Advanced Diploma or Diploma,0.0
2014,Total,Male,Certificate III or IV,0.0
2014,Total,Male,Year 12 or equivalent,0.0
2014,Total,Male,Year 11 or equivalent,0.0
2014,Total,Male,Year 10 or equivalent,0.0
2014,Total,Female,Postgraduate Degree,0.0
2014,Total,Female,Graduate Diploma or Certificate,0.0
2014,Total,Female,Bachelor Degree,0.0
2014,Total,Female,Advanced Diploma or Diploma,0.0
2014,Total,Female,Certificate III or IV,0.0
2014,Total,Female,Year 12 or equivalent,0.0
2014,Total,Female,Year 11 or equivalent,0.0
2014,Total,Female,Year 10 or equivalent,0.0
2015,New South Wales,Male,Postgraduate Degree,0.0
2015,New South Wales,Male,Graduate Diploma or Certificate,0.0
2015,New South Wales,Male,Bachelor Degree,0.0
2015,New South Wales,Male,Advanced Diploma or Diploma,0.0
2015,New South Wales,Male,Certificate III or IV,0.0
2015,New South Wales,Male,Year 12 or equivalent,0.0
2015,New South Wales,Male,Year 11 or equivalent,0.0
2015,New South Wales,Male,Year 10 or equivalent,0.0
2015,New South Wales,Female,Postgraduate Degree,0.0
2015,New South Wales,Female,Graduate Diploma or Certificate,0.0
2015,New South Wales,Female,Bachelor Degree,0.0
2015,New South Wales,Female,Advanced Diploma or Diploma,0.0
2015,New South Wales,Female,Certificate III or IV,0.0
2015,New South Wales,Female,Year 12 or equivalent,0.0
2015,New South Wales,Female,Year 11 or equivalent,0.0
2015,New South Wales,Female,Year 10 or equivalent,0.0
2015,Victoria,Male,Postgraduate Degree,0.0
2015,Victoria,Male,Graduate Diploma or Certificate,0.0
2015,Victoria,Male,Bachelor Degree,0.0
2015,Victoria,Male,Advanced Diploma or Diploma,0.0
2015,Victoria,Male,Certificate III or IV,0.0
2015,Victoria,Male,Year 12 or equivalent,0.0
2015,Victoria,Male,Year 11 or equivalent,0.0
2015,Victoria,Male,Year 10 or equivalent,0.0
2015,Victoria,Female,Postgraduate Degree,0.0
2015,Victoria,Female,Graduate Diploma or Certificate,0.0
2015,Victoria,Female,Bachelor Degree,0.0
2015,Victoria,Female,Advanced Diploma or Diploma,0.0
2015,Victoria,Female,Certificate III or IV,0.0
2015,Victoria,Female,Year 12 or equivalent,0.0
2015,Victoria,Female,Year 11 or equivalent,0.0
2015,Victoria,Female,Year 10 or equivalent,0.0
2015,Queensland,Male,Postgraduate Degree,0.0
2015,Queensland,Male,Graduate Diploma or Certificate,0.0
2015,Queensland,Male,Bachelor Degree,0.0
2015,Queensland,Male,Advanced Diploma or Diploma,0.0
2015,Queensland,Male,Certificate III or IV,0.0
2015,Queensland,Male,Year 12 or equivalent,0.0
2015,Queensland,Male,Year 11 or equivalent,0.0
2015,Queensland,Male,Year 10 or equivalent,0.0
2015,Queensland,Female,Postgraduate Degree,0.0
2015,Queensland,Female,Graduate Diploma or Certificate,0.0
2015,Queensland,Female,Bachelor Degree,0.0
2015,Queensland,Female,Advanced Diploma or Diploma,0.0
2015,Queensland,Female,Certificate III or IV,0.0
2015,Queensland,Female,Year 12 or equivalent,0.0
2015,Queensland,Female,Year 11 or equivalent,0.0
2015,Queensland,Female,Year 10 or equivalent,0.0
2015,South Australia,Male,Postgraduate Degree,0.0
2015,South Australia,Male,Graduate Diploma or Certificate,0.0
2015,South Australia,Male,Bachelor Degree,0.0
2015,South Australia,Male,Advanced Diploma or Diploma,0.0
2015,South Australia,Male,Certificate III or IV,0.0
2015,South Australia,Male,Year 12 or equivalent,0.0
2015,South Australia,Male,Year 11 or equivalent,0.0
2015,South Australia,Male,Year 10 or equivalent,0.0
2015,South Australia,Female,Postgraduate Degree,0.0
2015,South Australia,Female,Graduate Diploma or Certificate,0.0
2015,South Australia,Female,Bachelor Degree,0.0
2015,South Australia,Female,Advanced Diploma or Diploma,0.0
2015,South Australia,Female,Certificate III or IV,0.0
2015,South Australia,Female,Year 12 or equivalent,0.0
2015,South Australia,Female,Year 11 or equivalent,0.0
2015,South Australia,Female,Year 10 or equivalent,0.0
2015,Western Australia,Male,Postgraduate Degree,0.0
2015,Western Australia,Male,Graduate Diploma or Certificate,0.0
2015,Western Australia,Male,Bachelor Degree,0.0
2015,Western Australia,Male,Advanced Diploma or Diploma,0.0
2015,Western Australia,Male,Certificate III or IV,0.0
2015,Western Australia,Male,Year 12 or equivalent,0.0
2015,Western Australia,Male,Year 11 or equivalent,0.0
2015,Western Australia,Male,Year 10 or equivalent,0.0
2015,Western Australia,Female,Postgraduate Degree,0.0
2015,Western Australia,Female,Graduate Diploma or Certificate,0.0
2015,Western Australia,Female,Bachelor Degree,0.0
2015,Western Australia,Female,Advanced Diploma or Diploma,0.0
2015,Western Australia,Female,Certificate III or IV,0.0
2015,Western Australia,Female,Year 12 or equivalent,0.0
2015,Western Australia,Female,Year 11 or equivalent,0.0
2015,Western Australia,Female,Year 10 or equivalent,0.0
2015,Tasmania,Male,Postgraduate Degree,0.0
2015,Tasmania,Male,Graduate Diploma or Certificate,0.0
2015,Tasmania,Male,Bachelor Degree,0.0
2015,Tasmania,Male,Advanced Diploma or Diploma,0.0
2015,Tasmania,Male,Certificate III or IV,0.0
2015,Tasmania,Male,Year 12 or equivalent,0.0
2015,Tasmania,Male,Year 11 or equivalent,0.0
2015,Tasmania,Male,Year 10 or equivalent,0.0
2015,Tasmania,Female,Postgraduate Degree,0.0
2015,Tasmania,Female,Graduate Diploma or Certificate,0.0
2015,Tasmania,Female,Bachelor Degree,0.0
2015,Tasmania,Female,Advanced Diploma or Diploma,0.0
2015,Tasmania,Female,Certificate III or IV,0.0
2015,Tasmania,Female,Year 12 or equivalent,0.0
2015,Tasmania,Female,Year 11 or equivalent,0.0
2015,Tasmania,Female,Year 10 or equivalent,0.0
2015,Northern Territory,Male,Postgraduate Degree,0.0
2015,Northern Territory,Male,Graduate Diploma or Certificate,0.0
2015,Northern Territory,Male,Bachelor Degree,0.0
2015,Northern Territory,Male,Advanced Diploma or Diploma,0.0
2015,Northern Territory,Male,Certificate III or IV,0.0
2015,Northern Territory,Male,Year 12 or equivalent,0.0
2015,Northern Territory,Male,Year 11 or equivalent,0.0
2015,Northern Territory,Male,Year 10 or equivalent,0.0
2015,Northern Territory,Female,Postgraduate Degree,0.0
2015,Northern Territory,Female,Graduate Diploma or Certificate,0.0
2015,Northern Territory,Female,Bachelor Degree,0.0
2015,Northern Territory,Female,Advanced Diploma or Diploma,0.0
2015,Northern Territory,Female,Certificate III or IV,0.0
2015,Northern Territory,Female,Year 12 or equivalent,0.0
2015,Northern Territory,Female,Year 11 or equivalent,0.0
2015,Northern Territory,Female,Year 10 or equivalent,0.0
2015,Australian Capital Territory,Male,Postgraduate Degree,0.0
2015,Australian Capital Territory,Male,Graduate Diploma or Certificate,0.0
2015,Australian Capital Territory,Male,Bachelor Degree,0.0
2015,Australian Capital Territory,Male,Advanced Diploma or Diploma,0.0
2015,Australian Capital Territory,Male,Certificate III or IV,0.0
2015,Australian Capital Territory,Male,Year 12 or equivalent,0.0
2015,Australian Capital Territory,Male,Year 11 or equivalent,0.0
2015,Australian Capital Territory,Male,Year 10 or equivalent,0.0
2015,Australian Capital Territory,Female,Postgraduate Degree,0.0
2015,Australian Capital Territory,Female,Graduate Diploma or Certificate,0.0
2015,Australian Capital Territory,Female,Bachelor Degree,0.0
2015,Australian Capital Territory,Female,Advanced Diploma or Diploma,0.0
2015,Australian Capital Territory,Female,Certificate III or IV,0.0
2015,Australian Capital Territory,Female,Year 12 or equivalent,0.0
2015,Australian Capital Territory,Female,Year 11 or equivalent,0.0
2015,Australian Capital Territory,Female,Year 10 or equivalent,0.0
2015,Total,Male,Postgraduate Degree,0.0
2015,Total,Male,Graduate Diploma or Certificate,0.0
2015,Total,Male,Bachelor Degree,0.0
2015,Total,Male,Advanced Diploma or Diploma,0.0
2015,Total,Male,Certificate III or IV,0.0
2015,Total,Male,Year 12 or equivalent,0.0
2015,Total,Male,Year 11 or equivalent,0.0
2015,Total,Male,Year 10 or equivalent,0.0
2015,Total,Female,Postgraduate Degree,0.0
2015,Total,Female,Graduate Diploma or Certificate,0.0
2015,Total,Female,Bachelor Degree,0.0
2015,Total,Female,Advanced Diploma or Diploma,0.0
2015,Total,Female,Certificate III or IV,0.0
2015,Total,Female,Year 12 or equivalent,0.0
2015,Total,Female,Year 11 or equivalent,0.0
2015,Total,Female,Year 10 or equivalent,0.0
2016,New South Wales,Male,Postgraduate Degree,1804.4
2016,New South Wales,Male,Graduate Diploma or Certificate,1800.0
2016,New South Wales,Male,Bachelor Degree,1541.5
2016,New South Wales,Male,Advanced Diploma or Diploma,1337.5
2016,New South Wales,Male,Certificate III or IV,1200.0
2016,New South Wales,Male,Year 12 or equivalent,900.0
2016,New South Wales,Male,Year 11 or equivalent,652.4
2016,New South Wales,Male,Year 10 or equivalent,996.0
2016,New South Wales,Female,Postgraduate Degree,1269.6
2016,New South Wales,Female,Graduate Diploma or Certificate,1200.0
2016,New South Wales,Female,Bachelor Degree,1150.0
2016,New South Wales,Female,Advanced Diploma or Diploma,948.2
2016,New South Wales,Female,Certificate III or IV,750.0
2016,New South Wales,Female,Year 12 or equivalent,679.2
2016,New South Wales,Female,Year 11 or equivalent,447.4
2016,New South Wales,Female,Year 10 or equivalent,700.0
2016,Victoria,Male,Postgraduate Degree,1700.0
2016,Victoria,Male,Graduate Diploma or Certificate,1482.4
2016,Victoria,Male,Bachelor Degree,1346.8
2016,Victoria,Male,Advanced Diploma or Diploma,1247.7
2016,Victoria,Male,Certificate III or IV,1200.0
2016,Victoria,Male,Year 12 or equivalent,883.3
2016,Victoria,Male,Year 11 or equivalent,951.8
2016,Victoria,Male,Year 10 or equivalent,897.4
2016,Victoria,Female,Postgraduate Degree,1200.0
2016,Victoria,Female,Graduate Diploma or Certificate,1280.7
2016,Victoria,Female,Bachelor Degree,1047.0
2016,Victoria,Female,Advanced Diploma or Diploma,850.0
2016,Victoria,Female,Certificate III or IV,750.0
2016,Victoria,Female,Year 12 or equivalent,609.8
2016,Victoria,Female,Year 11 or equivalent,552.8
2016,Victoria,Female,Year 10 or equivalent,550.1
2016,Queensland,Male,Postgraduate Degree,1893.3
2016,Queensland,Male,Graduate Diploma or Certificate,1525.6
2016,Queensland,Male,Bachelor Degree,1435.1
2016,Queensland,Male,Advanced Diploma or Diploma,1349.6
2016,Queensland,Male,Certificate III or IV,1235.6
2016,Queensland,Male,Year 12 or equivalent,959.0
2016,Queensland,Male,Year 11 or equivalent,850.0
2016,Queensland,Male,Year 10 or equivalent,1000.0
2016,Queensland,Female,Postgraduate Degree,1506.0
2016,Queensland,Female,Graduate Diploma or Certificate,1200.0
2016,Queensland,Female,Bachelor Degree,1150.0
2016,Queensland,Female,Advanced Diploma or Diploma,816.6
2016,Queensland,Female,Certificate III or IV,768.0
2016,Queensland,Female,Year 12 or equivalent,750.0
2016,Queensland,Female,Year 11 or equivalent,362.1
2016,Queensland,Female,Year 10 or equivalent,756.2
2016,South Australia,Male,Postgraduate Degree,1440.3
2016,South Australia,Male,Graduate Diploma or Certificate,1626.2
2016,South Australia,Male,Bachelor Degree,1497.3
2016,South Australia,Male,Advanced Diploma or Diploma,1225.3
2016,South Australia,Male,Certificate III or IV,1190.0
2016,South Australia,Male,Year 12 or equivalent,900.0
2016,South Australia,Male,Year 11 or equivalent,907.9
2016,South Australia,Male,Year 10 or equivalent,933.6
2016,South Australia,Female,Postgraduate Degree,1246.5
2016,South Australia,Female,Graduate Diploma or Certificate,1038.4
2016,South Australia,Female,Bachelor Degree,1150.0
2016,South Australia,Female,Advanced Diploma or Diploma,931.4
2016,South Australia,Female,Certificate III or IV,772.5
2016,South Australia,Female,Year 12 or equivalent,619.8
2016,South Australia,Female,Year 11 or equivalent,650.0
2016,South Australia,Female,Year 10 or equivalent,650.0
2016,Western Australia,Male,Postgraduate Degree,2110.7
2016,Western Australia,Male,Graduate Diploma or Certificate,1826.0
2016,Western Australia,Male,Bachelor Degree,1538.0
2016,Western Australia,Male,Advanced Diploma or Diploma,1620.3
2016,Western Australia,Male,Certificate III or IV,1356.8
2016,Western Australia,Male,Year 12 or equivalent,1000.0
2016,Western Australia,Male,Year 11 or equivalent,1043.4
2016,Western Australia,Male,Year 10 or equivalent,1013.7
2016,Western Australia,Female,Postgraduate Degree,1410.5
2016,Western Australia,Female,Graduate Diploma or Certificate,1198.8
2016,Western Australia,Female,Bachelor Degree,1200.0
2016,Western Australia,Female,Advanced Diploma or Diploma,940.3
2016,Western Australia,Female,Certificate III or IV,769.5
2016,Western Australia,Female,Year 12 or equivalent,625.0
2016,Western Australia,Female,Year 11 or equivalent,275.0
2016,Western Australia,Female,Year 10 or equivalent,699.9
2016,Tasmania,Male,Postgraduate Degree,1573.0
2016,Tasmania,Male,Graduate Diploma or Certificate,0.0
2016,Tasmania,Male,Bachelor Degree,1400.0
2016,Tasmania,Male,Advanced Diploma or Diploma,1128.8
2016,Tasmania,Male,Certificate III or IV,1100.0
2016,Tasmania,Male,Year 12 or equivalent,750.0
2016,Tasmania,Male,Year 11 or equivalent,753.6
2016,Tasmania,Male,Year 10 or equivalent,908.8
2016,Tasmania,Female,Postgraduate Degree,1764.6
2016,Tasmania,Female,Graduate Diploma or Certificate,0.0
2016,Tasmania,Female,Bachelor Degree,1151.3
2016,Tasmania,Female,Advanced Diploma or Diploma,830.0
2016,Tasmania,Female,Certificate III or IV,750.0
2016,Tasmania,Female,Year 12 or equivalent,607.4
2016,Tasmania,Female,Year 11 or equivalent,359.6
2016,Tasmania,Female,Year 10 or equivalent,640.0
2016,Northern Territory,Male,Postgraduate Degree,1560.7
2016,Northern Territory,Male,Graduate Diploma or Certificate,0.0
2016,Northern Territory,Male,Bachelor Degree,1600.1
2016,Northern Territory,Male,Advanced Diploma or Diploma,1750.0
2016,Northern Territory,Male,Certificate III or IV,1500.0
2016,Northern Territory,Male,Year 12 or equivalent,1125.0
2016,Northern Territory,Male,Year 11 or equivalent,1200.4
2016,Northern Territory,Male,Year 10 or equivalent,1219.9
2016,Northern Territory,Female,Postgraduate Degree,1673.4
2016,Northern Territory,Female,Graduate Diploma or Certificate,1258.1
2016,Northern Territory,Female,Bachelor Degree,1399.2
2016,Northern Territory,Female,Advanced Diploma or Diploma,1086.0
2016,Northern Territory,Female,Certificate III or IV,1000.0
2016,Northern Territory,Female,Year 12 or equivalent,925.0
2016,Northern Territory,Female,Year 11 or equivalent,1197.5
2016,Northern Territory,Female,Year 10 or equivalent,1012.0
2016,Australian Capital Territory,Male,Postgraduate Degree,2094.2
2016,Australian Capital Territory,Male,Graduate Diploma or Certificate,0.0
2016,Australian Capital Territory,Male,Bachelor Degree,1546.0
2016,Australian Capital Territory,Male,Advanced Diploma or Diploma,1523.8
2016,Australian Capital Territory,Male,Certificate III or IV,1334.0
2016,Australian Capital Territory,Male,Year 12 or equivalent,989.4
2016,Australian Capital Territory,Male,Year 11 or equivalent,0.0
2016,Australian Capital Territory,Male,Year 10 or equivalent,1189.9
2016,Australian Capital Territory,Female,Postgraduate Degree,1633.1
2016,Australian Capital Territory,Female,Graduate Diploma or Certificate,1531.3
2016,Australian Capital Territory,Female,Bachelor Degree,1236.9
2016,Australian Capital Territory,Female,Advanced Diploma or Diploma,1200.0
2016,Australian Capital Territory,Female,Certificate III or IV,776.7
2016,Australian Capital Territory,Female,Year 12 or equivalent,750.0
2016,Australian Capital Territory,Female,Year 11 or equivalent,0.0
2016,Australian Capital Territory,Female,Year 10 or equivalent,804.1
2016,Total,Male,Postgraduate Degree,1782.7
2016,Total,Male,Graduate Diploma or Certificate,1727.1
2016,Total,Male,Bachelor Degree,1499.0
2016,Total,Male,Advanced Diploma or Diploma,1342.0
2016,Total,Male,Certificate III or IV,1200.0
2016,Total,Male,Year 12 or equivalent,917.0
2016,Total,Male,Year 11 or equivalent,898.0
2016,Total,Male,Year 10 or equivalent,997.0
2016,Total,Female,Postgraduate Degree,1323.8
2016,Total,Female,Graduate Diploma or Certificate,1250.0
2016,Total,Female,Bachelor Degree,1144.1
2016,Total,Female,Advanced Diploma or Diploma,900.0
2016,Total,Female,Certificate III or IV,750.0
2016,Total,Female,Year 12 or equivalent,675.0
2016,Total,Female,Year 11 or equivalent,559.1
2016,Total,Female,Year 10 or equivalent,671.0
2017,New South Wales,Male,Postgraduate Degree,1790.6
2017,New South Wales,Male,Graduate Diploma or Certificate,1843.6
2017,New South Wales,Male,Bachelor Degree,1600.0
2017,New South Wales,Male,Advanced Diploma or Diploma,1343.8
2017,New South Wales,Male,Certificate III or IV,1200.0
2017,New South Wales,Male,Year 12 or equivalent,937.7
2017,New South Wales,Male,Year 11 or equivalent,751.5
2017,New South Wales,Male,Year 10 or equivalent,956.1
2017,New South Wales,Female,Postgraduate Degree,1500.0
2017,New South Wales,Female,Graduate Diploma or Certificate,1309.9
2017,New South Wales,Female,Bachelor Degree,1149.5
2017,New South Wales,Female,Advanced Diploma or Diploma,950.0
2017,New South Wales,Female,Certificate III or IV,800.0
2017,New South Wales,Female,Year 12 or equivalent,700.0
2017,New South Wales,Female,Year 11 or equivalent,356.5
2017,New South Wales,Female,Year 10 or equivalent,730.5
2017,Victoria,Male,Postgraduate Degree,1849.2
2017,Victoria,Male,Graduate Diploma or Certificate,1626.5
2017,Victoria,Male,Bachelor Degree,1438.0
2017,Victoria,Male,Advanced Diploma or Diploma,1100.0
2017,Victoria,Male,Certificate III or IV,1248.9
2017,Victoria,Male,Year 12 or equivalent,925.8
2017,Victoria,Male,Year 11 or equivalent,990.0
2017,Victoria,Male,Year 10 or equivalent,885.2
2017,Victoria,Female,Postgraduate Degree,1312.5
2017,Victoria,Female,Graduate Diploma or Certificate,1191.3
2017,Victoria,Female,Bachelor Degree,1100.0
2017,Victoria,Female,Advanced Diploma or Diploma,869.1
2017,Victoria,Female,Certificate III or IV,753.0
2017,Victoria,Female,Year 12 or equivalent,700.0
2017,Victoria,Female,Year 11 or equivalent,550.0
2017,Victoria,Female,Year 10 or equivalent,703.3
2017,Queensland,Male,Postgraduate Degree,1783.6
2017,Queensland,Male,Graduate Diploma or Certificate,1600.0
2017,Queensland,Male,Bachelor Degree,1516.0
2017,Queensland,Male,Advanced Diploma or Diploma,1345.6
2017,Queensland,Male,Certificate III or IV,1200.0
2017,Queensland,Male,Year 12 or equivalent,900.0
2017,Queensland,Male,Year 11 or equivalent,888.9
2017,Queensland,Male,Year 10 or equivalent,1085.4
2017,Queensland,Female,Postgraduate Degree,1246.6
2017,Queensland,Female,Graduate Diploma or Certificate,1075.4
2017,Queensland,Female,Bachelor Degree,1176.7
2017,Queensland,Female,Advanced Diploma or Diploma,900.0
2017,Queensland,Female,Certificate III or IV,791.9
2017,Queensland,Female,Year 12 or equivalent,714.0
2017,Queensland,Female,Year 11 or equivalent,600.0
2017,Queensland,Female,Year 10 or equivalent,728.5
2017,South Australia,Male,Postgraduate Degree,1702.0
2017,South Australia,Male,Graduate Diploma or Certificate,1815.4
2017,South Australia,Male,Bachelor Degree,1380.0
2017,South Australia,Male,Advanced Diploma or Diploma,1283.1
2017,South Australia,Male,Certificate III or IV,1097.5
2017,South Australia,Male,Year 12 or equivalent,900.0
2017,South Australia,Male,Year 11 or equivalent,978.1
2017,South Australia,Male,Year 10 or equivalent,933.1
2017,South Australia,Female,Postgraduate Degree,1294.5
2017,South Australia,Female,Graduate Diploma or Certificate,1497.3
2017,South Australia,Female,Bachelor Degree,1100.0
2017,South Australia,Female,Advanced Diploma or Diploma,900.0
2017,South Australia,Female,Certificate III or IV,729.6
2017,South Australia,Female,Year 12 or equivalent,700.0
2017,South Australia,Female,Year 11 or equivalent,750.0
2017,South Australia,Female,Year 10 or equivalent,512.9
2017,Western Australia,Male,Postgraduate Degree,1825.4
2017,Western Australia,Male,Graduate Diploma or Certificate,1907.2
2017,Western Australia,Male,Bachelor Degree,1600.0
2017,Western Australia,Male,Advanced Diploma or Diploma,1500.0
2017,Western Australia,Male,Certificate III or IV,1460.4
2017,Western Australia,Male,Year 12 or equivalent,985.8
2017,Western Australia,Male,Year 11 or equivalent,1340.0
2017,Western Australia,Male,Year 10 or equivalent,1114.3
2017,Western Australia,Female,Postgraduate Degree,1294.0
2017,Western Australia,Female,Graduate Diploma or Certificate,1300.0
2017,Western Australia,Female,Bachelor Degree,1191.2
2017,Western Australia,Female,Advanced Diploma or Diploma,908.1
2017,Western Australia,Female,Certificate III or IV,744.0
2017,Western Australia,Female,Year 12 or equivalent,700.0
2017,Western Australia,Female,Year 11 or equivalent,611.2
2017,Western Australia,Female,Year 10 or equivalent,660.6
2017,Tasmania,Male,Postgraduate Degree,1892.6
