Reference year,Region of usual residence (SA4),Sex,Industry of main job,Weighted median of Weekly earnings in main job (for means and medians) (%)
Aug-14,Queensland,Female,Information Media and Telecommunications,772.8
Aug-14,Queensland,Female,Financial and Insurance Services,951.6
Aug-14,Queensland,Female,"Rental, Hiring and Real Estate Services",840.2
Aug-14,Queensland,Female,"Professional, Scientific and Technical Services",1000
Aug-14,Queensland,Female,Administrative and Support Services,750.8
Aug-14,Queensland,Female,Public Administration and Safety,1199.5
Aug-14,Queensland,Female,Education and Training,950
Aug-14,Queensland,Female,Health Care and Social Assistance,846.1
Aug-14,Queensland,Female,Arts and Recreation Services,500
Aug-14,Queensland,Female,Other Services,641
Aug-14,South Australia,Male,"Agriculture, Forestry and Fishing",927.8
Aug-14,South Australia,Male,Mining,2008.4
Aug-14,South Australia,Male,Manufacturing,1030
Aug-14,South Australia,Male,"Electricity, Gas, Water and Waste Services",1472.9
Aug-14,South Australia,Male,Construction,1047
Aug-14,South Australia,Male,Wholesale Trade,1015.1
Aug-14,South Australia,Male,Retail Trade,735.1
Aug-14,South Australia,Male,Accommodation and Food Services,494.6
Aug-14,South Australia,Male,"Transport, Postal and Warehousing",1150
Aug-14,South Australia,Male,Information Media and Telecommunications,0
Aug-14,South Australia,Male,Financial and Insurance Services,1009.2
Aug-14,South Australia,Male,"Rental, Hiring and Real Estate Services",1380.9
Aug-14,South Australia,Male,"Professional, Scientific and Technical Services",1400
Aug-14,South Australia,Male,Administrative and Support Services,1112.8
Aug-14,South Australia,Male,Public Administration and Safety,1250
Aug-14,South Australia,Male,Education and Training,1354.9
Aug-14,South Australia,Male,Health Care and Social Assistance,977.6
Aug-14,South Australia,Male,Arts and Recreation Services,1092.9
Aug-14,South Australia,Male,Other Services,952.6
Aug-14,South Australia,Female,"Agriculture, Forestry and Fishing",0
Aug-14,South Australia,Female,Mining,0
Aug-14,South Australia,Female,Manufacturing,653.8
Aug-14,South Australia,Female,"Electricity, Gas, Water and Waste Services",0
Aug-14,South Australia,Female,Construction,0
Aug-14,South Australia,Female,Wholesale Trade,0
Aug-14,South Australia,Female,Retail Trade,500
Aug-14,South Australia,Female,Accommodation and Food Services,422.1
Aug-14,South Australia,Female,"Transport, Postal and Warehousing",810.2
Aug-14,South Australia,Female,Information Media and Telecommunications,0
Aug-14,South Australia,Female,Financial and Insurance Services,900
Aug-14,South Australia,Female,"Rental, Hiring and Real Estate Services",898.4
Aug-14,South Australia,Female,"Professional, Scientific and Technical Services",859
Aug-14,South Australia,Female,Administrative and Support Services,665.4
Aug-14,South Australia,Female,Public Administration and Safety,1131.7
Aug-14,South Australia,Female,Education and Training,1075.8
Aug-14,South Australia,Female,Health Care and Social Assistance,800
Aug-14,South Australia,Female,Arts and Recreation Services,0
Aug-14,South Australia,Female,Other Services,692.2
Aug-14,Western Australia,Male,"Agriculture, Forestry and Fishing",0
Aug-14,Western Australia,Male,Mining,2480.7
Aug-14,Western Australia,Male,Manufacturing,1206.8
Aug-14,Western Australia,Male,"Electricity, Gas, Water and Waste Services",2000
Aug-14,Western Australia,Male,Construction,1500
Aug-14,Western Australia,Male,Wholesale Trade,1305.5
Aug-14,Western Australia,Male,Retail Trade,900
Aug-14,Western Australia,Male,Accommodation and Food Services,300
Aug-14,Western Australia,Male,"Transport, Postal and Warehousing",1230
Aug-14,Western Australia,Male,Information Media and Telecommunications,0
Aug-14,Western Australia,Male,Financial and Insurance Services,2031.8
Aug-14,Western Australia,Male,"Rental, Hiring and Real Estate Services",1199.2
Aug-14,Western Australia,Male,"Professional, Scientific and Technical Services",1636.3
Aug-14,Western Australia,Male,Administrative and Support Services,556.9
Aug-14,Western Australia,Male,Public Administration and Safety,1500
Aug-14,Western Australia,Male,Education and Training,1298.8
Aug-14,Western Australia,Male,Health Care and Social Assistance,1298.2
Aug-14,Western Australia,Male,Arts and Recreation Services,888.2
Aug-14,Western Australia,Male,Other Services,1377.9
Aug-14,Western Australia,Female,"Agriculture, Forestry and Fishing",0
Aug-14,Western Australia,Female,Mining,1442.3
Aug-14,Western Australia,Female,Manufacturing,782.3
Aug-14,Western Australia,Female,"Electricity, Gas, Water and Waste Services",0
Aug-14,Western Australia,Female,Construction,1013.8
Aug-14,Western Australia,Female,Wholesale Trade,992.9
Aug-14,Western Australia,Female,Retail Trade,484.1
Aug-14,Western Australia,Female,Accommodation and Food Services,500
Aug-14,Western Australia,Female,"Transport, Postal and Warehousing",848.4
Aug-14,Western Australia,Female,Information Media and Telecommunications,0
Aug-14,Western Australia,Female,Financial and Insurance Services,1000
Aug-14,Western Australia,Female,"Rental, Hiring and Real Estate Services",800
Aug-14,Western Australia,Female,"Professional, Scientific and Technical Services",1056.5
Aug-14,Western Australia,Female,Administrative and Support Services,708.3
Aug-14,Western Australia,Female,Public Administration and Safety,1195.4
Aug-14,Western Australia,Female,Education and Training,1108.4
Aug-14,Western Australia,Female,Health Care and Social Assistance,942.3
Aug-14,Western Australia,Female,Arts and Recreation Services,541.8
Aug-14,Western Australia,Female,Other Services,822.7
Aug-14,Tasmania,Male,"Agriculture, Forestry and Fishing",1093.7
Aug-14,Tasmania,Male,Mining,0
Aug-14,Tasmania,Male,Manufacturing,1053.3
Aug-14,Tasmania,Male,"Electricity, Gas, Water and Waste Services",1000
Aug-14,Tasmania,Male,Construction,1082
Aug-14,Tasmania,Male,Wholesale Trade,994.5
Aug-14,Tasmania,Male,Retail Trade,787.3
Aug-14,Tasmania,Male,Accommodation and Food Services,543.7
Aug-14,Tasmania,Male,"Transport, Postal and Warehousing",1036.1
Aug-14,Tasmania,Male,Information Media and Telecommunications,0
Aug-14,Tasmania,Male,Financial and Insurance Services,0
Aug-14,Tasmania,Male,"Rental, Hiring and Real Estate Services",0
Aug-14,Tasmania,Male,"Professional, Scientific and Technical Services",1246
Aug-14,Tasmania,Male,Administrative and Support Services,0
Aug-14,Tasmania,Male,Public Administration and Safety,1135.7
Aug-14,Tasmania,Male,Education and Training,1252.4
Aug-14,Tasmania,Male,Health Care and Social Assistance,908.5
Aug-14,Tasmania,Male,Arts and Recreation Services,0
Aug-14,Tasmania,Male,Other Services,849.7
Aug-14,Tasmania,Female,"Agriculture, Forestry and Fishing",0
Aug-14,Tasmania,Female,Mining,0
Aug-14,Tasmania,Female,Manufacturing,674.7
Aug-14,Tasmania,Female,"Electricity, Gas, Water and Waste Services",0
Aug-14,Tasmania,Female,Construction,0
Aug-14,Tasmania,Female,Wholesale Trade,0
Aug-14,Tasmania,Female,Retail Trade,550.1
Aug-14,Tasmania,Female,Accommodation and Food Services,355.4
Aug-14,Tasmania,Female,"Transport, Postal and Warehousing",0
Aug-14,Tasmania,Female,Information Media and Telecommunications,0
Aug-14,Tasmania,Female,Financial and Insurance Services,1025.3
Aug-14,Tasmania,Female,"Rental, Hiring and Real Estate Services",0
Aug-14,Tasmania,Female,"Professional, Scientific and Technical Services",614.7
Aug-14,Tasmania,Female,Administrative and Support Services,690
Aug-14,Tasmania,Female,Public Administration and Safety,1108
Aug-14,Tasmania,Female,Education and Training,816.9
Aug-14,Tasmania,Female,Health Care and Social Assistance,841
Aug-14,Tasmania,Female,Arts and Recreation Services,0
Aug-14,Tasmania,Female,Other Services,640.1
Aug-14,Northern Territory,Male,"Agriculture, Forestry and Fishing",0
Aug-14,Northern Territory,Male,Mining,2576.1
Aug-14,Northern Territory,Male,Manufacturing,1867.9
Aug-14,Northern Territory,Male,"Electricity, Gas, Water and Waste Services",0
Aug-14,Northern Territory,Male,Construction,1592.1
Aug-14,Northern Territory,Male,Wholesale Trade,0
Aug-14,Northern Territory,Male,Retail Trade,850
Aug-14,Northern Territory,Male,Accommodation and Food Services,0
Aug-14,Northern Territory,Male,"Transport, Postal and Warehousing",1498.4
Aug-14,Northern Territory,Male,Information Media and Telecommunications,0
Aug-14,Northern Territory,Male,Financial and Insurance Services,0
Aug-14,Northern Territory,Male,"Rental, Hiring and Real Estate Services",0
Aug-14,Northern Territory,Male,"Professional, Scientific and Technical Services",2098.6
Aug-14,Northern Territory,Male,Administrative and Support Services,0
Aug-14,Northern Territory,Male,Public Administration and Safety,1500
Aug-14,Northern Territory,Male,Education and Training,1221.7
Aug-14,Northern Territory,Male,Health Care and Social Assistance,1331.3
Aug-14,Northern Territory,Male,Arts and Recreation Services,0
Aug-14,Northern Territory,Male,Other Services,1279
Aug-14,Northern Territory,Female,"Agriculture, Forestry and Fishing",0
Aug-14,Northern Territory,Female,Mining,0
Aug-14,Northern Territory,Female,Manufacturing,0
Aug-14,Northern Territory,Female,"Electricity, Gas, Water and Waste Services",0
Aug-14,Northern Territory,Female,Construction,0
Aug-14,Northern Territory,Female,Wholesale Trade,0
Aug-14,Northern Territory,Female,Retail Trade,801.3
Aug-14,Northern Territory,Female,Accommodation and Food Services,715.7
Aug-14,Northern Territory,Female,"Transport, Postal and Warehousing",0
Aug-14,Northern Territory,Female,Information Media and Telecommunications,0
Aug-14,Northern Territory,Female,Financial and Insurance Services,0
Aug-14,Northern Territory,Female,"Rental, Hiring and Real Estate Services",0
Aug-14,Northern Territory,Female,"Professional, Scientific and Technical Services",1035.9
Aug-14,Northern Territory,Female,Administrative and Support Services,785.6
Aug-14,Northern Territory,Female,Public Administration and Safety,1275.8
Aug-14,Northern Territory,Female,Education and Training,1294.2
Aug-14,Northern Territory,Female,Health Care and Social Assistance,1011
Aug-14,Northern Territory,Female,Arts and Recreation Services,0
Aug-14,Northern Territory,Female,Other Services,0
Aug-14,Australian Capital Territory,Male,"Agriculture, Forestry and Fishing",0
Aug-14,Australian Capital Territory,Male,Mining,0
Aug-14,Australian Capital Territory,Male,Manufacturing,0
Aug-14,Australian Capital Territory,Male,"Electricity, Gas, Water and Waste Services",0
Aug-14,Australian Capital Territory,Male,Construction,1237.7
Aug-14,Australian Capital Territory,Male,Wholesale Trade,0
Aug-14,Australian Capital Territory,Male,Retail Trade,706.1
Aug-14,Australian Capital Territory,Male,Accommodation and Food Services,555.4
Aug-14,Australian Capital Territory,Male,"Transport, Postal and Warehousing",838.8
Aug-14,Australian Capital Territory,Male,Information Media and Telecommunications,0
Aug-14,Australian Capital Territory,Male,Financial and Insurance Services,0
Aug-14,Australian Capital Territory,Male,"Rental, Hiring and Real Estate Services",0
Aug-14,Australian Capital Territory,Male,"Professional, Scientific and Technical Services",2026.1
Aug-14,Australian Capital Territory,Male,Administrative and Support Services,0
Aug-14,Australian Capital Territory,Male,Public Administration and Safety,1907.2
Aug-14,Australian Capital Territory,Male,Education and Training,1430.1
Aug-14,Australian Capital Territory,Male,Health Care and Social Assistance,1882.9
Aug-14,Australian Capital Territory,Male,Arts and Recreation Services,0
Aug-14,Australian Capital Territory,Male,Other Services,0
Aug-14,Australian Capital Territory,Female,"Agriculture, Forestry and Fishing",0
Aug-14,Australian Capital Territory,Female,Mining,0
Aug-14,Australian Capital Territory,Female,Manufacturing,0
Aug-14,Australian Capital Territory,Female,"Electricity, Gas, Water and Waste Services",0
Aug-14,Australian Capital Territory,Female,Construction,0
Aug-14,Australian Capital Territory,Female,Wholesale Trade,0
Aug-14,Australian Capital Territory,Female,Retail Trade,325.3
Aug-14,Australian Capital Territory,Female,Accommodation and Food Services,459.8
Aug-14,Australian Capital Territory,Female,"Transport, Postal and Warehousing",0
Aug-14,Australian Capital Territory,Female,Information Media and Telecommunications,0
Aug-14,Australian Capital Territory,Female,Financial and Insurance Services,0
Aug-14,Australian Capital Territory,Female,"Rental, Hiring and Real Estate Services",0
Aug-14,Australian Capital Territory,Female,"Professional, Scientific and Technical Services",1303
Aug-14,Australian Capital Territory,Female,Administrative and Support Services,0
Aug-14,Australian Capital Territory,Female,Public Administration and Safety,1500
Aug-14,Australian Capital Territory,Female,Education and Training,999.2
Aug-14,Australian Capital Territory,Female,Health Care and Social Assistance,1131.9
Aug-14,Australian Capital Territory,Female,Arts and Recreation Services,0
Aug-14,Australian Capital Territory,Female,Other Services,0
Aug-15,New South Wales,Male,"Agriculture, Forestry and Fishing",815.1
Aug-15,New South Wales,Male,Mining,2133.9
Aug-15,New South Wales,Male,Manufacturing,1150
Aug-15,New South Wales,Male,"Electricity, Gas, Water and Waste Services",1447.4
Aug-15,New South Wales,Male,Construction,1200
Aug-15,New South Wales,Male,Wholesale Trade,1150.2
Aug-15,New South Wales,Male,Retail Trade,850
Aug-15,New South Wales,Male,Accommodation and Food Services,750
Aug-15,New South Wales,Male,"Transport, Postal and Warehousing",1150
Aug-15,New South Wales,Male,Information Media and Telecommunications,1687.2
Aug-15,New South Wales,Male,Financial and Insurance Services,1726
Aug-15,New South Wales,Male,"Rental, Hiring and Real Estate Services",1566
Aug-15,New South Wales,Male,"Professional, Scientific and Technical Services",1534
Aug-15,New South Wales,Male,Administrative and Support Services,1100
Aug-15,New South Wales,Male,Public Administration and Safety,1502.8
Aug-15,New South Wales,Male,Education and Training,1353.4
Aug-15,New South Wales,Male,Health Care and Social Assistance,1304.1
Aug-15,New South Wales,Male,Arts and Recreation Services,850
Aug-15,New South Wales,Male,Other Services,908.6
Aug-15,New South Wales,Female,"Agriculture, Forestry and Fishing",750
Aug-15,New South Wales,Female,Mining,0
Aug-15,New South Wales,Female,Manufacturing,900
Aug-15,New South Wales,Female,"Electricity, Gas, Water and Waste Services",0
Aug-15,New South Wales,Female,Construction,879.5
Aug-15,New South Wales,Female,Wholesale Trade,993.7
Aug-15,New South Wales,Female,Retail Trade,558.9
Aug-15,New South Wales,Female,Accommodation and Food Services,463.6
Aug-15,New South Wales,Female,"Transport, Postal and Warehousing",903.5
Aug-15,New South Wales,Female,Information Media and Telecommunications,1050
Aug-15,New South Wales,Female,Financial and Insurance Services,1240.5
Aug-15,New South Wales,Female,"Rental, Hiring and Real Estate Services",904
Aug-15,New South Wales,Female,"Professional, Scientific and Technical Services",1150
Aug-15,New South Wales,Female,Administrative and Support Services,900
Aug-15,New South Wales,Female,Public Administration and Safety,1020.8
Aug-15,New South Wales,Female,Education and Training,1107.8
Aug-15,New South Wales,Female,Health Care and Social Assistance,900
Aug-15,New South Wales,Female,Arts and Recreation Services,811.7
Aug-15,New South Wales,Female,Other Services,650
Aug-15,Victoria,Male,"Agriculture, Forestry and Fishing",874.7
Aug-15,Victoria,Male,Mining,0
Aug-15,Victoria,Male,Manufacturing,1104.2
Aug-15,Victoria,Male,"Electricity, Gas, Water and Waste Services",1600
Aug-15,Victoria,Male,Construction,1200
Aug-15,Victoria,Male,Wholesale Trade,1100
Aug-15,Victoria,Male,Retail Trade,800
Aug-15,Victoria,Male,Accommodation and Food Services,500
Aug-15,Victoria,Male,"Transport, Postal and Warehousing",1150.5
Aug-15,Victoria,Male,Information Media and Telecommunications,1896.5
Aug-15,Victoria,Male,Financial and Insurance Services,1630
Aug-15,Victoria,Male,"Rental, Hiring and Real Estate Services",1168.2
Aug-15,Victoria,Male,"Professional, Scientific and Technical Services",1400
Aug-15,Victoria,Male,Administrative and Support Services,920
Aug-15,Victoria,Male,Public Administration and Safety,1500
Aug-15,Victoria,Male,Education and Training,1244.1
Aug-15,Victoria,Male,Health Care and Social Assistance,1250
Aug-15,Victoria,Male,Arts and Recreation Services,785.3
Aug-15,Victoria,Male,Other Services,996.5
Aug-15,Victoria,Female,"Agriculture, Forestry and Fishing",0
Aug-15,Victoria,Female,Mining,0
Aug-15,Victoria,Female,Manufacturing,860.1
Aug-15,Victoria,Female,"Electricity, Gas, Water and Waste Services",0
Aug-15,Victoria,Female,Construction,1098.4
Aug-15,Victoria,Female,Wholesale Trade,807.3
Aug-15,Victoria,Female,Retail Trade,500.4
Aug-15,Victoria,Female,Accommodation and Food Services,350
Aug-15,Victoria,Female,"Transport, Postal and Warehousing",892.4
Aug-15,Victoria,Female,Information Media and Telecommunications,986.8
Aug-15,Victoria,Female,Financial and Insurance Services,1109.4
Aug-15,Victoria,Female,"Rental, Hiring and Real Estate Services",1065.9
Aug-15,Victoria,Female,"Professional, Scientific and Technical Services",1000
Aug-15,Victoria,Female,Administrative and Support Services,751.6
Aug-15,Victoria,Female,Public Administration and Safety,1100
Aug-15,Victoria,Female,Education and Training,999.6
Aug-15,Victoria,Female,Health Care and Social Assistance,800
Aug-15,Victoria,Female,Arts and Recreation Services,574.5
Aug-15,Victoria,Female,Other Services,693.5
Aug-15,Queensland,Male,"Agriculture, Forestry and Fishing",1135.5
Aug-15,Queensland,Male,Mining,2264
Aug-15,Queensland,Male,Manufacturing,1100
Aug-15,Queensland,Male,"Electricity, Gas, Water and Waste Services",1543.6
Aug-15,Queensland,Male,Construction,1246
Aug-15,Queensland,Male,Wholesale Trade,1153.9
Aug-15,Queensland,Male,Retail Trade,727.5
Aug-15,Queensland,Male,Accommodation and Food Services,441.3
Aug-15,Queensland,Male,"Transport, Postal and Warehousing",1150.5
Aug-15,Queensland,Male,Information Media and Telecommunications,1190.6
Aug-15,Queensland,Male,Financial and Insurance Services,1536.8
Aug-15,Queensland,Male,"Rental, Hiring and Real Estate Services",1500
Aug-15,Queensland,Male,"Professional, Scientific and Technical Services",1538.3
Aug-15,Queensland,Male,Administrative and Support Services,900
Aug-15,Queensland,Male,Public Administration and Safety,1400
Aug-15,Queensland,Male,Education and Training,1448.8
Aug-15,Queensland,Male,Health Care and Social Assistance,1110.9
Aug-15,Queensland,Male,Arts and Recreation Services,1111.2
Aug-15,Queensland,Male,Other Services,1200
Aug-15,Queensland,Female,"Agriculture, Forestry and Fishing",594.9
Aug-15,Queensland,Female,Mining,0
Aug-15,Queensland,Female,Manufacturing,898.9
Aug-15,Queensland,Female,"Electricity, Gas, Water and Waste Services",0
Aug-15,Queensland,Female,Construction,1050.6
Aug-15,Queensland,Female,Wholesale Trade,842.6
Aug-15,Queensland,Female,Retail Trade,604.1
Aug-15,Queensland,Female,Accommodation and Food Services,513.5
Aug-15,Queensland,Female,"Transport, Postal and Warehousing",903.1
Aug-15,Queensland,Female,Information Media and Telecommunications,1259.3
Aug-15,Queensland,Female,Financial and Insurance Services,1124.6
Aug-15,Queensland,Female,"Rental, Hiring and Real Estate Services",1198.7
Aug-15,Queensland,Female,"Professional, Scientific and Technical Services",1046.6
Aug-15,Queensland,Female,Administrative and Support Services,780.6
Aug-15,Queensland,Female,Public Administration and Safety,1150
Aug-15,Queensland,Female,Education and Training,976.7
Aug-15,Queensland,Female,Health Care and Social Assistance,941.6
Aug-15,Queensland,Female,Arts and Recreation Services,335.5
Aug-15,Queensland,Female,Other Services,810
Aug-15,South Australia,Male,"Agriculture, Forestry and Fishing",831
Aug-15,South Australia,Male,Mining,2296.8
Aug-15,South Australia,Male,Manufacturing,1100.8
Aug-15,South Australia,Male,"Electricity, Gas, Water and Waste Services",1776.4
Aug-15,South Australia,Male,Construction,1150
Aug-15,South Australia,Male,Wholesale Trade,1163.2
Aug-15,South Australia,Male,Retail Trade,704.8
Aug-15,South Australia,Male,Accommodation and Food Services,516.3
Aug-15,South Australia,Male,"Transport, Postal and Warehousing",1200
Aug-15,South Australia,Male,Information Media and Telecommunications,1173.7
Aug-15,South Australia,Male,Financial and Insurance Services,1322.6
Aug-15,South Australia,Male,"Rental, Hiring and Real Estate Services",0
Aug-15,South Australia,Male,"Professional, Scientific and Technical Services",1504.1
Aug-15,South Australia,Male,Administrative and Support Services,1011.6
Aug-15,South Australia,Male,Public Administration and Safety,1452.4
Aug-15,South Australia,Male,Education and Training,1488.8
Aug-15,South Australia,Male,Health Care and Social Assistance,996.3
Aug-15,South Australia,Male,Arts and Recreation Services,0
Aug-15,South Australia,Male,Other Services,1000
Aug-15,South Australia,Female,"Agriculture, Forestry and Fishing",0
Aug-15,South Australia,Female,Mining,0
Aug-15,South Australia,Female,Manufacturing,863.5
Aug-15,South Australia,Female,"Electricity, Gas, Water and Waste Services",0
Aug-15,South Australia,Female,Construction,0
Aug-15,South Australia,Female,Wholesale Trade,0
Aug-15,South Australia,Female,Retail Trade,444.8
Aug-15,South Australia,Female,Accommodation and Food Services,440.5
Aug-15,South Australia,Female,"Transport, Postal and Warehousing",0
Aug-15,South Australia,Female,Information Media and Telecommunications,0
Aug-15,South Australia,Female,Financial and Insurance Services,1046.6
Aug-15,South Australia,Female,"Rental, Hiring and Real Estate Services",0
Aug-15,South Australia,Female,"Professional, Scientific and Technical Services",939
Aug-15,South Australia,Female,Administrative and Support Services,750.9
Aug-15,South Australia,Female,Public Administration and Safety,1180.8
Aug-15,South Australia,Female,Education and Training,915.7
Aug-15,South Australia,Female,Health Care and Social Assistance,879.1
Aug-15,South Australia,Female,Arts and Recreation Services,0
Aug-15,South Australia,Female,Other Services,870.6
Aug-15,Western Australia,Male,"Agriculture, Forestry and Fishing",1000
Aug-15,Western Australia,Male,Mining,2085.7
Aug-15,Western Australia,Male,Manufacturing,1380
Aug-15,Western Australia,Male,"Electricity, Gas, Water and Waste Services",1575.9
Aug-15,Western Australia,Male,Construction,1334.7
Aug-15,Western Australia,Male,Wholesale Trade,1174
Aug-15,Western Australia,Male,Retail Trade,700
Aug-15,Western Australia,Male,Accommodation and Food Services,690
Aug-15,Western Australia,Male,"Transport, Postal and Warehousing",1400
Aug-15,Western Australia,Male,Information Media and Telecommunications,0
Aug-15,Western Australia,Male,Financial and Insurance Services,1519.7
Aug-15,Western Australia,Male,"Rental, Hiring and Real Estate Services",0
Aug-15,Western Australia,Male,"Professional, Scientific and Technical Services",1645.8
Aug-15,Western Australia,Male,Administrative and Support Services,960.9
Aug-15,Western Australia,Male,Public Administration and Safety,1500
Aug-15,Western Australia,Male,Education and Training,1254.3
Aug-15,Western Australia,Male,Health Care and Social Assistance,1347.6
Aug-15,Western Australia,Male,Arts and Recreation Services,900
Aug-15,Western Australia,Male,Other Services,1202.2
Aug-15,Western Australia,Female,"Agriculture, Forestry and Fishing",0
