Reference year,Region of usual residence (SA4),Sex,Age,Weighted median of Weekly earnings in main job (for means and medians) (%)
2014,Victoria,Female,65-69 years,574.1
2014,Victoria,Female,70-74 years,0.0
2014,Victoria,Female,75 years and over,0.0
2014,Queensland,Male,15-19 years,282.4
2014,Queensland,Male,20-24 years,773.7
2014,Queensland,Male,25-29 years,1064.1
2014,Queensland,Male,30-34 years,1400.0
2014,Queensland,Male,35-39 years,1349.3
2014,Queensland,Male,40-44 years,1500.0
2014,Queensland,Male,45-49 years,1402.8
2014,Queensland,Male,50-54 years,1290.2
2014,Queensland,Male,55-59 years,1442.6
2014,Queensland,Male,60-64 years,1200.0
2014,Queensland,Male,65-69 years,728.0
2014,Queensland,Male,70-74 years,0.0
2014,Queensland,Male,75 years and over,0.0
2014,Queensland,Female,15-19 years,218.9
2014,Queensland,Female,20-24 years,700.0
2014,Queensland,Female,25-29 years,979.8
2014,Queensland,Female,30-34 years,900.0
2014,Queensland,Female,35-39 years,893.2
2014,Queensland,Female,40-44 years,895.1
2014,Queensland,Female,45-49 years,963.0
2014,Queensland,Female,50-54 years,900.0
2014,Queensland,Female,55-59 years,899.8
2014,Queensland,Female,60-64 years,749.7
2014,Queensland,Female,65-69 years,615.3
2014,Queensland,Female,70-74 years,0.0
2014,Queensland,Female,75 years and over,0.0
2014,South Australia,Male,15-19 years,241.6
2014,South Australia,Male,20-24 years,623.0
2014,South Australia,Male,25-29 years,1000.0
2014,South Australia,Male,30-34 years,1150.0
2014,South Australia,Male,35-39 years,1250.0
2014,South Australia,Male,40-44 years,1200.0
2014,South Australia,Male,45-49 years,1150.0
2014,South Australia,Male,50-54 years,1200.0
2014,South Australia,Male,55-59 years,1247.2
2014,South Australia,Male,60-64 years,1098.2
2014,South Australia,Male,65-69 years,858.3
2014,South Australia,Male,70-74 years,0.0
2014,South Australia,Male,75 years and over,0.0
2014,South Australia,Female,15-19 years,144.7
2014,South Australia,Female,20-24 years,600.0
2014,South Australia,Female,25-29 years,863.8
2014,South Australia,Female,30-34 years,850.2
2014,South Australia,Female,35-39 years,798.6
2014,South Australia,Female,40-44 years,800.0
2014,South Australia,Female,45-49 years,875.2
2014,South Australia,Female,50-54 years,883.8
2014,South Australia,Female,55-59 years,900.0
2014,South Australia,Female,60-64 years,850.0
2014,South Australia,Female,65-69 years,331.6
2014,South Australia,Female,70-74 years,0.0
2014,South Australia,Female,75 years and over,0.0
2014,Western Australia,Male,15-19 years,395.5
2014,Western Australia,Male,20-24 years,980.0
2014,Western Australia,Male,25-29 years,1281.0
2014,Western Australia,Male,30-34 years,1500.8
2014,Western Australia,Male,35-39 years,1619.7
2014,Western Australia,Male,40-44 years,1781.6
2014,Western Australia,Male,45-49 years,1639.5
2014,Western Australia,Male,50-54 years,1840.4
2014,Western Australia,Male,55-59 years,1500.0
2014,Western Australia,Male,60-64 years,1608.9
2014,Western Australia,Male,65-69 years,1138.0
2014,Western Australia,Male,70-74 years,0.0
2014,Western Australia,Male,75 years and over,0.0
2014,Western Australia,Female,15-19 years,238.0
2014,Western Australia,Female,20-24 years,794.4
2014,Western Australia,Female,25-29 years,938.6
2014,Western Australia,Female,30-34 years,999.6
2014,Western Australia,Female,35-39 years,799.3
2014,Western Australia,Female,40-44 years,850.0
2014,Western Australia,Female,45-49 years,1036.5
2014,Western Australia,Female,50-54 years,900.0
2014,Western Australia,Female,55-59 years,888.3
2014,Western Australia,Female,60-64 years,916.4
2014,Western Australia,Female,65-69 years,955.4
2014,Western Australia,Female,70-74 years,0.0
2014,Western Australia,Female,75 years and over,0.0
2014,Tasmania,Male,15-19 years,226.7
2014,Tasmania,Male,20-24 years,750.0
2014,Tasmania,Male,25-29 years,1000.0
2014,Tasmania,Male,30-34 years,1000.1
2014,Tasmania,Male,35-39 years,1236.8
2014,Tasmania,Male,40-44 years,1241.4
2014,Tasmania,Male,45-49 years,1208.2
2014,Tasmania,Male,50-54 years,1092.9
2014,Tasmania,Male,55-59 years,1018.2
2014,Tasmania,Male,60-64 years,1036.0
2014,Tasmania,Male,65-69 years,0.0
2014,Tasmania,Male,70-74 years,0.0
2014,Tasmania,Male,75 years and over,0.0
2014,Tasmania,Female,15-19 years,151.5
2014,Tasmania,Female,20-24 years,561.4
2014,Tasmania,Female,25-29 years,853.8
2014,Tasmania,Female,30-34 years,650.0
2014,Tasmania,Female,35-39 years,613.4
2014,Tasmania,Female,40-44 years,789.0
2014,Tasmania,Female,45-49 years,782.3
2014,Tasmania,Female,50-54 years,907.9
2014,Tasmania,Female,55-59 years,769.5
2014,Tasmania,Female,60-64 years,673.3
2014,Tasmania,Female,65-69 years,0.0
2014,Tasmania,Female,70-74 years,0.0
2014,Tasmania,Female,75 years and over,0.0
2014,Northern Territory,Male,15-19 years,0.0
2014,Northern Territory,Male,20-24 years,932.5
2014,Northern Territory,Male,25-29 years,1400.0
2014,Northern Territory,Male,30-34 years,1879.5
2014,Northern Territory,Male,35-39 years,1636.9
2014,Northern Territory,Male,40-44 years,1653.9
2014,Northern Territory,Male,45-49 years,1912.4
2014,Northern Territory,Male,50-54 years,2000.0
2014,Northern Territory,Male,55-59 years,1619.6
2014,Northern Territory,Male,60-64 years,1500.0
2014,Northern Territory,Male,65-69 years,0.0
2014,Northern Territory,Male,70-74 years,0.0
2014,Northern Territory,Male,75 years and over,0.0
2014,Northern Territory,Female,15-19 years,355.1
2014,Northern Territory,Female,20-24 years,929.1
2014,Northern Territory,Female,25-29 years,1168.8
2014,Northern Territory,Female,30-34 years,1129.7
2014,Northern Territory,Female,35-39 years,1134.2
2014,Northern Territory,Female,40-44 years,1151.7
2014,Northern Territory,Female,45-49 years,1150.0
2014,Northern Territory,Female,50-54 years,1170.0
2014,Northern Territory,Female,55-59 years,1251.1
2014,Northern Territory,Female,60-64 years,889.0
2014,Northern Territory,Female,65-69 years,0.0
2014,Northern Territory,Female,70-74 years,0.0
2014,Northern Territory,Female,75 years and over,0.0
2014,Australian Capital Territory,Male,15-19 years,0.0
2014,Australian Capital Territory,Male,20-24 years,536.4
2014,Australian Capital Territory,Male,25-29 years,1319.7
2014,Australian Capital Territory,Male,30-34 years,1505.2
2014,Australian Capital Territory,Male,35-39 years,1575.4
2014,Australian Capital Territory,Male,40-44 years,1672.3
2014,Australian Capital Territory,Male,45-49 years,2128.3
2014,Australian Capital Territory,Male,50-54 years,1591.0
2014,Australian Capital Territory,Male,55-59 years,1649.3
2014,Australian Capital Territory,Male,60-64 years,1393.5
2014,Australian Capital Territory,Male,65-69 years,0.0
2014,Australian Capital Territory,Male,70-74 years,0.0
2014,Australian Capital Territory,Male,75 years and over,0.0
2014,Australian Capital Territory,Female,15-19 years,157.0
2014,Australian Capital Territory,Female,20-24 years,517.4
2014,Australian Capital Territory,Female,25-29 years,1122.2
2014,Australian Capital Territory,Female,30-34 years,1150.0
2014,Australian Capital Territory,Female,35-39 years,1501.5
2014,Australian Capital Territory,Female,40-44 years,1150.4
2014,Australian Capital Territory,Female,45-49 years,1414.0
2014,Australian Capital Territory,Female,50-54 years,1221.2
2014,Australian Capital Territory,Female,55-59 years,1187.7
2014,Australian Capital Territory,Female,60-64 years,896.9
2014,Australian Capital Territory,Female,65-69 years,0.0
2014,Australian Capital Territory,Female,70-74 years,0.0
2014,Australian Capital Territory,Female,75 years and over,0.0
2014,Total,Male,15-19 years,250.0
2014,Total,Male,20-24 years,750.0
2014,Total,Male,25-29 years,1059.9
2014,Total,Male,30-34 years,1318.0
2014,Total,Male,35-39 years,1380.0
2014,Total,Male,40-44 years,1500.0
2014,Total,Male,45-49 years,1489.3
2014,Total,Male,50-54 years,1371.2
2014,Total,Male,55-59 years,1380.5
2014,Total,Male,60-64 years,1150.0
2014,Total,Male,65-69 years,944.2
2014,Total,Male,70-74 years,363.1
2014,Total,Male,75 years and over,368.3
2014,Total,Female,15-19 years,150.0
2014,Total,Female,20-24 years,660.0
2014,Total,Female,25-29 years,950.0
2014,Total,Female,30-34 years,980.8
2014,Total,Female,35-39 years,925.0
2014,Total,Female,40-44 years,900.0
2014,Total,Female,45-49 years,922.0
2014,Total,Female,50-54 years,936.0
2014,Total,Female,55-59 years,858.0
2014,Total,Female,60-64 years,803.3
2014,Total,Female,65-69 years,637.3
2014,Total,Female,70-74 years,551.7
2014,Total,Female,75 years and over,154.5
2015,New South Wales,Male,15-19 years,281.3
2015,New South Wales,Male,20-24 years,777.6
2015,New South Wales,Male,25-29 years,1051.6
2015,New South Wales,Male,30-34 years,1377.1
2015,New South Wales,Male,35-39 years,1400.0
2015,New South Wales,Male,40-44 years,1518.0
2015,New South Wales,Male,45-49 years,1408.2
2015,New South Wales,Male,50-54 years,1368.4
2015,New South Wales,Male,55-59 years,1450.6
2015,New South Wales,Male,60-64 years,1300.0
2015,New South Wales,Male,65-69 years,1720.8
2015,New South Wales,Male,70-74 years,347.4
2015,New South Wales,Male,75 years and over,0.0
2015,New South Wales,Female,15-19 years,150.0
2015,New South Wales,Female,20-24 years,602.7
2015,New South Wales,Female,25-29 years,850.2
2015,New South Wales,Female,30-34 years,1000.0
2015,New South Wales,Female,35-39 years,1081.2
2015,New South Wales,Female,40-44 years,900.0
2015,New South Wales,Female,45-49 years,982.7
2015,New South Wales,Female,50-54 years,900.0
2015,New South Wales,Female,55-59 years,1000.0
2015,New South Wales,Female,60-64 years,881.6
2015,New South Wales,Female,65-69 years,850.0
2015,New South Wales,Female,70-74 years,0.0
2015,New South Wales,Female,75 years and over,0.0
2015,Victoria,Male,15-19 years,167.5
2015,Victoria,Male,20-24 years,647.4
2015,Victoria,Male,25-29 years,1000.0
2015,Victoria,Male,30-34 years,1150.0
2015,Victoria,Male,35-39 years,1380.0
2015,Victoria,Male,40-44 years,1400.0
2015,Victoria,Male,45-49 years,1367.2
2015,Victoria,Male,50-54 years,1281.0
2015,Victoria,Male,55-59 years,1352.6
2015,Victoria,Male,60-64 years,1185.6
2015,Victoria,Male,65-69 years,867.2
2015,Victoria,Male,70-74 years,1045.1
2015,Victoria,Male,75 years and over,0.0
2015,Victoria,Female,15-19 years,132.9
2015,Victoria,Female,20-24 years,550.9
2015,Victoria,Female,25-29 years,850.0
2015,Victoria,Female,30-34 years,920.3
2015,Victoria,Female,35-39 years,879.5
2015,Victoria,Female,40-44 years,896.7
2015,Victoria,Female,45-49 years,854.6
2015,Victoria,Female,50-54 years,932.5
2015,Victoria,Female,55-59 years,880.8
2015,Victoria,Female,60-64 years,799.1
2015,Victoria,Female,65-69 years,710.6
2015,Victoria,Female,70-74 years,0.0
2015,Victoria,Female,75 years and over,0.0
2015,Queensland,Male,15-19 years,351.7
2015,Queensland,Male,20-24 years,800.0
2015,Queensland,Male,25-29 years,1150.0
2015,Queensland,Male,30-34 years,1250.0
2015,Queensland,Male,35-39 years,1380.0
2015,Queensland,Male,40-44 years,1538.5
2015,Queensland,Male,45-49 years,1299.6
2015,Queensland,Male,50-54 years,1437.8
2015,Queensland,Male,55-59 years,1286.2
2015,Queensland,Male,60-64 years,1250.0
2015,Queensland,Male,65-69 years,1181.4
2015,Queensland,Male,70-74 years,0.0
2015,Queensland,Male,75 years and over,0.0
2015,Queensland,Female,15-19 years,212.1
2015,Queensland,Female,20-24 years,750.0
2015,Queensland,Female,25-29 years,950.0
2015,Queensland,Female,30-34 years,900.0
2015,Queensland,Female,35-39 years,976.3
2015,Queensland,Female,40-44 years,871.0
2015,Queensland,Female,45-49 years,1000.0
2015,Queensland,Female,50-54 years,954.2
2015,Queensland,Female,55-59 years,933.6
2015,Queensland,Female,60-64 years,898.1
2015,Queensland,Female,65-69 years,991.4
2015,Queensland,Female,70-74 years,0.0
2015,Queensland,Female,75 years and over,0.0
2015,South Australia,Male,15-19 years,240.2
2015,South Australia,Male,20-24 years,666.7
2015,South Australia,Male,25-29 years,1050.0
2015,South Australia,Male,30-34 years,1100.6
2015,South Australia,Male,35-39 years,1384.7
2015,South Australia,Male,40-44 years,1200.0
2015,South Australia,Male,45-49 years,1168.5
2015,South Australia,Male,50-54 years,1310.0
2015,South Australia,Male,55-59 years,1300.0
2015,South Australia,Male,60-64 years,1218.9
2015,South Australia,Male,65-69 years,0.0
2015,South Australia,Male,70-74 years,0.0
2015,South Australia,Male,75 years and over,0.0
2015,South Australia,Female,15-19 years,170.5
2015,South Australia,Female,20-24 years,633.4
2015,South Australia,Female,25-29 years,940.8
2015,South Australia,Female,30-34 years,819.4
2015,South Australia,Female,35-39 years,880.4
2015,South Australia,Female,40-44 years,892.2
2015,South Australia,Female,45-49 years,900.0
2015,South Australia,Female,50-54 years,967.0
2015,South Australia,Female,55-59 years,857.0
2015,South Australia,Female,60-64 years,850.0
2015,South Australia,Female,65-69 years,498.0
2015,South Australia,Female,70-74 years,0.0
2015,South Australia,Female,75 years and over,0.0
2015,Western Australia,Male,15-19 years,350.0
2015,Western Australia,Male,20-24 years,889.5
2015,Western Australia,Male,25-29 years,1281.0
2015,Western Australia,Male,30-34 years,1376.7
2015,Western Australia,Male,35-39 years,1545.1
2015,Western Australia,Male,40-44 years,1609.6
2015,Western Australia,Male,45-49 years,1669.5
2015,Western Australia,Male,50-54 years,1594.9
2015,Western Australia,Male,55-59 years,1603.2
2015,Western Australia,Male,60-64 years,1542.2
2015,Western Australia,Male,65-69 years,1089.5
2015,Western Australia,Male,70-74 years,0.0
2015,Western Australia,Male,75 years and over,0.0
2015,Western Australia,Female,15-19 years,234.7
2015,Western Australia,Female,20-24 years,700.0
2015,Western Australia,Female,25-29 years,1000.0
2015,Western Australia,Female,30-34 years,973.1
2015,Western Australia,Female,35-39 years,1000.0
2015,Western Australia,Female,40-44 years,935.3
2015,Western Australia,Female,45-49 years,960.3
2015,Western Australia,Female,50-54 years,949.9
2015,Western Australia,Female,55-59 years,903.5
2015,Western Australia,Female,60-64 years,937.1
2015,Western Australia,Female,65-69 years,508.6
2015,Western Australia,Female,70-74 years,0.0
2015,Western Australia,Female,75 years and over,0.0
2015,Tasmania,Male,15-19 years,250.0
2015,Tasmania,Male,20-24 years,701.7
2015,Tasmania,Male,25-29 years,800.0
2015,Tasmania,Male,30-34 years,1007.9
2015,Tasmania,Male,35-39 years,1352.0
2015,Tasmania,Male,40-44 years,1158.2
2015,Tasmania,Male,45-49 years,1216.0
2015,Tasmania,Male,50-54 years,1250.0
2015,Tasmania,Male,55-59 years,1023.4
2015,Tasmania,Male,60-64 years,1014.6
2015,Tasmania,Male,65-69 years,965.2
2015,Tasmania,Male,70-74 years,0.0
2015,Tasmania,Male,75 years and over,0.0
2015,Tasmania,Female,15-19 years,183.7
2015,Tasmania,Female,20-24 years,688.8
2015,Tasmania,Female,25-29 years,852.8
2015,Tasmania,Female,30-34 years,750.0
2015,Tasmania,Female,35-39 years,787.3
2015,Tasmania,Female,40-44 years,760.0
2015,Tasmania,Female,45-49 years,850.0
2015,Tasmania,Female,50-54 years,831.8
2015,Tasmania,Female,55-59 years,1001.3
2015,Tasmania,Female,60-64 years,772.9
2015,Tasmania,Female,65-69 years,362.3
2015,Tasmania,Female,70-74 years,0.0
2015,Tasmania,Female,75 years and over,0.0
2015,Northern Territory,Male,15-19 years,559.5
2015,Northern Territory,Male,20-24 years,901.3
2015,Northern Territory,Male,25-29 years,1458.9
2015,Northern Territory,Male,30-34 years,1531.8
2015,Northern Territory,Male,35-39 years,1500.0
2015,Northern Territory,Male,40-44 years,1385.9
2015,Northern Territory,Male,45-49 years,1749.4
2015,Northern Territory,Male,50-54 years,1500.0
2015,Northern Territory,Male,55-59 years,1248.3
2015,Northern Territory,Male,60-64 years,1065.8
2015,Northern Territory,Male,65-69 years,0.0
2015,Northern Territory,Male,70-74 years,0.0
2015,Northern Territory,Male,75 years and over,0.0
2015,Northern Territory,Female,15-19 years,470.2
2015,Northern Territory,Female,20-24 years,924.7
2015,Northern Territory,Female,25-29 years,1000.0
2015,Northern Territory,Female,30-34 years,1000.0
2015,Northern Territory,Female,35-39 years,1200.0
2015,Northern Territory,Female,40-44 years,1271.6
2015,Northern Territory,Female,45-49 years,1158.3
2015,Northern Territory,Female,50-54 years,1150.0
2015,Northern Territory,Female,55-59 years,1304.0
2015,Northern Territory,Female,60-64 years,1022.6
2015,Northern Territory,Female,65-69 years,0.0
2015,Northern Territory,Female,70-74 years,0.0
2015,Northern Territory,Female,75 years and over,0.0
2015,Australian Capital Territory,Male,15-19 years,129.5
2015,Australian Capital Territory,Male,20-24 years,733.9
2015,Australian Capital Territory,Male,25-29 years,1271.1
2015,Australian Capital Territory,Male,30-34 years,1390.2
2015,Australian Capital Territory,Male,35-39 years,1599.0
2015,Australian Capital Territory,Male,40-44 years,1616.4
2015,Australian Capital Territory,Male,45-49 years,2074.4
2015,Australian Capital Territory,Male,50-54 years,1679.8
2015,Australian Capital Territory,Male,55-59 years,2027.2
2015,Australian Capital Territory,Male,60-64 years,0.0
2015,Australian Capital Territory,Male,65-69 years,0.0
2015,Australian Capital Territory,Male,70-74 years,0.0
2015,Australian Capital Territory,Male,75 years and over,0.0
2015,Australian Capital Territory,Female,15-19 years,0.0
2015,Australian Capital Territory,Female,20-24 years,600.0
2015,Australian Capital Territory,Female,25-29 years,1148.9
2015,Australian Capital Territory,Female,30-34 years,1476.3
2015,Australian Capital Territory,Female,35-39 years,1252.0
2015,Australian Capital Territory,Female,40-44 years,1502.5
2015,Australian Capital Territory,Female,45-49 years,1273.5
2015,Australian Capital Territory,Female,50-54 years,1341.5
2015,Australian Capital Territory,Female,55-59 years,1233.1
2015,Australian Capital Territory,Female,60-64 years,842.0
2015,Australian Capital Territory,Female,65-69 years,0.0
2015,Australian Capital Territory,Female,70-74 years,0.0
2015,Australian Capital Territory,Female,75 years and over,0.0
2015,Total,Male,15-19 years,250.0
2015,Total,Male,20-24 years,750.0
2015,Total,Male,25-29 years,1100.0
2015,Total,Male,30-34 years,1250.0
2015,Total,Male,35-39 years,1411.1
2015,Total,Male,40-44 years,1500.0
2015,Total,Male,45-49 years,1400.0
2015,Total,Male,50-54 years,1394.2
2015,Total,Male,55-59 years,1376.8
2015,Total,Male,60-64 years,1249.6
2015,Total,Male,65-69 years,1100.0
2015,Total,Male,70-74 years,727.4
2015,Total,Male,75 years and over,476.8
2015,Total,Female,15-19 years,160.0
2015,Total,Female,20-24 years,650.0
2015,Total,Female,25-29 years,900.0
2015,Total,Female,30-34 years,964.0
2015,Total,Female,35-39 years,982.3
2015,Total,Female,40-44 years,900.0
2015,Total,Female,45-49 years,950.0
2015,Total,Female,50-54 years,940.8
2015,Total,Female,55-59 years,950.0
2015,Total,Female,60-64 years,850.0
2015,Total,Female,65-69 years,741.1
2015,Total,Female,70-74 years,443.4
2015,Total,Female,75 years and over,0.0
2016,New South Wales,Male,15-19 years,210.0
2016,New South Wales,Male,20-24 years,800.0
2016,New South Wales,Male,25-29 years,1100.0
2016,New South Wales,Male,30-34 years,1276.6
2016,New South Wales,Male,35-39 years,1400.0
2016,New South Wales,Male,40-44 years,1500.0
2016,New South Wales,Male,45-49 years,1500.0
2016,New South Wales,Male,50-54 years,1409.6
2016,New South Wales,Male,55-59 years,1300.0
2016,New South Wales,Male,60-64 years,1268.0
2016,New South Wales,Male,65-69 years,993.9
2016,New South Wales,Male,70-74 years,0.0
2016,New South Wales,Male,75 years and over,0.0
2016,New South Wales,Female,15-19 years,200.0
2016,New South Wales,Female,20-24 years,655.2
2016,New South Wales,Female,25-29 years,938.7
2016,New South Wales,Female,30-34 years,1098.7
2016,New South Wales,Female,35-39 years,1000.0
2016,New South Wales,Female,40-44 years,1093.7
2016,New South Wales,Female,45-49 years,1000.0
2016,New South Wales,Female,50-54 years,977.0
2016,New South Wales,Female,55-59 years,940.6
2016,New South Wales,Female,60-64 years,800.0
2016,New South Wales,Female,65-69 years,690.2
2016,New South Wales,Female,70-74 years,0.0
2016,New South Wales,Female,75 years and over,0.0
2016,Victoria,Male,15-19 years,166.0
2016,Victoria,Male,20-24 years,660.0
2016,Victoria,Male,25-29 years,1050.0
2016,Victoria,Male,30-34 years,1250.0
2016,Victoria,Male,35-39 years,1400.0
2016,Victoria,Male,40-44 years,1500.0
2016,Victoria,Male,45-49 years,1447.0
2016,Victoria,Male,50-54 years,1474.4
2016,Victoria,Male,55-59 years,1388.9
2016,Victoria,Male,60-64 years,1284.8
2016,Victoria,Male,65-69 years,895.1
2016,Victoria,Male,70-74 years,0.0
2016,Victoria,Male,75 years and over,0.0
2016,Victoria,Female,15-19 years,130.8
2016,Victoria,Female,20-24 years,650.0
2016,Victoria,Female,25-29 years,1000.0
2016,Victoria,Female,30-34 years,938.0
2016,Victoria,Female,35-39 years,822.8
2016,Victoria,Female,40-44 years,907.8
2016,Victoria,Female,45-49 years,918.9
2016,Victoria,Female,50-54 years,901.7
2016,Victoria,Female,55-59 years,876.2
2016,Victoria,Female,60-64 years,800.0
2016,Victoria,Female,65-69 years,677.5
2016,Victoria,Female,70-74 years,0.0
2016,Victoria,Female,75 years and over,0.0
2016,Queensland,Male,15-19 years,229.2
2016,Queensland,Male,20-24 years,803.6
2016,Queensland,Male,25-29 years,1007.1
2016,Queensland,Male,30-34 years,1200.0
2016,Queensland,Male,35-39 years,1493.1
2016,Queensland,Male,40-44 years,1500.0
2016,Queensland,Male,45-49 years,1360.3
2016,Queensland,Male,50-54 years,1300.0
2016,Queensland,Male,55-59 years,1415.1
2016,Queensland,Male,60-64 years,1437.9
2016,Queensland,Male,65-69 years,918.0
2016,Queensland,Male,70-74 years,0.0
2016,Queensland,Male,75 years and over,0.0
2016,Queensland,Female,15-19 years,200.0
2016,Queensland,Female,20-24 years,724.0
2016,Queensland,Female,25-29 years,965.5
2016,Queensland,Female,30-34 years,950.0
2016,Queensland,Female,35-39 years,1000.0
2016,Queensland,Female,40-44 years,980.0
2016,Queensland,Female,45-49 years,911.2
2016,Queensland,Female,50-54 years,997.0
2016,Queensland,Female,55-59 years,929.2
2016,Queensland,Female,60-64 years,881.7
2016,Queensland,Female,65-69 years,638.2
2016,Queensland,Female,70-74 years,0.0
2016,Queensland,Female,75 years and over,0.0
2016,South Australia,Male,15-19 years,225.3
2016,South Australia,Male,20-24 years,730.0
2016,South Australia,Male,25-29 years,1100.0
2016,South Australia,Male,30-34 years,1253.0
2016,South Australia,Male,35-39 years,1249.4
2016,South Australia,Male,40-44 years,1400.0
2016,South Australia,Male,45-49 years,1278.8
2016,South Australia,Male,50-54 years,1242.5
2016,South Australia,Male,55-59 years,1205.4
2016,South Australia,Male,60-64 years,1096.2
2016,South Australia,Male,65-69 years,866.3
2016,South Australia,Male,70-74 years,0.0
2016,South Australia,Male,75 years and over,0.0
2016,South Australia,Female,15-19 years,196.3
2016,South Australia,Female,20-24 years,507.4
2016,South Australia,Female,25-29 years,934.0
2016,South Australia,Female,30-34 years,854.0
2016,South Australia,Female,35-39 years,900.0
2016,South Australia,Female,40-44 years,900.0
2016,South Australia,Female,45-49 years,988.2
2016,South Australia,Female,50-54 years,948.3
2016,South Australia,Female,55-59 years,807.8
2016,South Australia,Female,60-64 years,788.1
2016,South Australia,Female,65-69 years,527.4
2016,South Australia,Female,70-74 years,0.0
2016,South Australia,Female,75 years and over,0.0
2016,Western Australia,Male,15-19 years,187.0
2016,Western Australia,Male,20-24 years,738.2
2016,Western Australia,Male,25-29 years,1182.6
2016,Western Australia,Male,30-34 years,1473.0
2016,Western Australia,Male,35-39 years,1670.0
2016,Western Australia,Male,40-44 years,1670.1
2016,Western Australia,Male,45-49 years,1600.0
2016,Western Australia,Male,50-54 years,1673.2
2016,Western Australia,Male,55-59 years,1668.1
2016,Western Australia,Male,60-64 years,1371.0
2016,Western Australia,Male,65-69 years,1108.9
2016,Western Australia,Male,70-74 years,0.0
2016,Western Australia,Male,75 years and over,0.0
2016,Western Australia,Female,15-19 years,163.7
2016,Western Australia,Female,20-24 years,692.6
2016,Western Australia,Female,25-29 years,958.4
2016,Western Australia,Female,30-34 years,1000.0
2016,Western Australia,Female,35-39 years,950.0
2016,Western Australia,Female,40-44 years,1058.7
2016,Western Australia,Female,45-49 years,958.0
2016,Western Australia,Female,50-54 years,1017.4
2016,Western Australia,Female,55-59 years,913.4
2016,Western Australia,Female,60-64 years,881.0
2016,Western Australia,Female,65-69 years,1082.9
2016,Western Australia,Female,70-74 years,0.0
2016,Western Australia,Female,75 years and over,0.0
2016,Tasmania,Male,15-19 years,208.2
2016,Tasmania,Male,20-24 years,800.0
2016,Tasmania,Male,25-29 years,948.4
2016,Tasmania,Male,30-34 years,1250.0
2016,Tasmania,Male,35-39 years,1282.9
2016,Tasmania,Male,40-44 years,1250.0
2016,Tasmania,Male,45-49 years,1053.9
2016,Tasmania,Male,50-54 years,1250.0
2016,Tasmania,Male,55-59 years,1119.8
2016,Tasmania,Male,60-64 years,1042.1
2016,Tasmania,Male,65-69 years,0.0
2016,Tasmania,Male,70-74 years,0.0
2016,Tasmania,Male,75 years and over,0.0
2016,Tasmania,Female,15-19 years,183.4
2016,Tasmania,Female,20-24 years,543.9
2016,Tasmania,Female,25-29 years,800.0
2016,Tasmania,Female,30-34 years,781.5
2016,Tasmania,Female,35-39 years,750.0
2016,Tasmania,Female,40-44 years,750.0
2016,Tasmania,Female,45-49 years,907.4
2016,Tasmania,Female,50-54 years,878.4
2016,Tasmania,Female,55-59 years,875.2
2016,Tasmania,Female,60-64 years,816.7
2016,Tasmania,Female,65-69 years,0.0
2016,Tasmania,Female,70-74 years,0.0
2016,Tasmania,Female,75 years and over,0.0
2016,Northern Territory,Male,15-19 years,505.4
2016,Northern Territory,Male,20-24 years,899.8
