Year,State,Sex,Industry,Median_Weekly
2014,Northern Territory,Female,"Agriculture, Forestry and Fishing",0
2014,Northern Territory,Female,Mining,0
2014,Northern Territory,Female,Manufacturing,0
2014,Northern Territory,Female,"Electricity, Gas, Water and Waste Services",0
2014,Northern Territory,Female,Construction,0
2014,Northern Territory,Female,Wholesale Trade,0
2014,Northern Territory,Female,Retail Trade,801.3
2014,Northern Territory,Female,Accommodation and Food Services,715.7
2014,Northern Territory,Female,"Transport, Postal and Warehousing",0
2014,Northern Territory,Female,Information Media and Telecommunications,0
2014,Northern Territory,Female,Financial and Insurance Services,0
2014,Northern Territory,Female,"Rental, Hiring and Real Estate Services",0
2014,Northern Territory,Female,"Professional, Scientific and Technical Services",1035.9
2014,Northern Territory,Female,Administrative and Support Services,785.6
2014,Northern Territory,Female,Public Administration and Safety,1275.8
2014,Northern Territory,Female,Education and Training,1294.2
2014,Northern Territory,Female,Health Care and Social Assistance,1011
2014,Northern Territory,Female,Arts and Recreation Services,0
2014,Northern Territory,Female,Other Services,0
2014,Australian Capital Territory,Male,"Agriculture, Forestry and Fishing",0
2014,Australian Capital Territory,Male,Mining,0
2014,Australian Capital Territory,Male,Manufacturing,0
2014,Australian Capital Territory,Male,"Electricity, Gas, Water and Waste Services",0
2014,Australian Capital Territory,Male,Construction,1237.7
2014,Australian Capital Territory,Male,Wholesale Trade,0
2014,Australian Capital Territory,Male,Retail Trade,706.1
2014,Australian Capital Territory,Male,Accommodation and Food Services,555.4
2014,Australian Capital Territory,Male,"Transport, Postal and Warehousing",838.8
2014,Australian Capital Territory,Male,Information Media and Telecommunications,0
2014,Australian Capital Territory,Male,Financial and Insurance Services,0
2014,Australian Capital Territory,Male,"Rental, Hiring and Real Estate Services",0
2014,Australian Capital Territory,Male,"Professional, Scientific and Technical Services",2026.1
2014,Australian Capital Territory,Male,Administrative and Support Services,0
2014,Australian Capital Territory,Male,Public Administration and Safety,1907.2
2014,Australian Capital Territory,Male,Education and Training,1430.1
2014,Australian Capital Territory,Male,Health Care and Social Assistance,1882.9
2014,Australian Capital Territory,Male,Arts and Recreation Services,0
2014,Australian Capital Territory,Male,Other Services,0
2014,Australian Capital Territory,Female,"Agriculture, Forestry and Fishing",0
2014,Australian Capital Territory,Female,Mining,0
2014,Australian Capital Territory,Female,Manufacturing,0
2014,Australian Capital Territory,Female,"Electricity, Gas, Water and Waste Services",0
2014,Australian Capital Territory,Female,Construction,0
2014,Australian Capital Territory,Female,Wholesale Trade,0
2014,Australian Capital Territory,Female,Retail Trade,325.3
2014,Australian Capital Territory,Female,Accommodation and Food Services,459.8
2014,Australian Capital Territory,Female,"Transport, Postal and Warehousing",0
2014,Australian Capital Territory,Female,Information Media and Telecommunications,0
2014,Australian Capital Territory,Female,Financial and Insurance Services,0
2014,Australian Capital Territory,Female,"Rental, Hiring and Real Estate Services",0
2014,Australian Capital Territory,Female,"Professional, Scientific and Technical Services",1303
2014,Australian Capital Territory,Female,Administrative and Support Services,0
2014,Australian Capital Territory,Female,Public Administration and Safety,1500
2014,Australian Capital Territory,Female,Education and Training,999.2
2014,Australian Capital Territory,Female,Health Care and Social Assistance,1131.9
2014,Australian Capital Territory,Female,Arts and Recreation Services,0
2014,Australian Capital Territory,Female,Other Services,0
2014,Total,Male,"Agriculture, Forestry and Fishing",928.2
2014,Total,Male,Mining,2206.9
2014,Total,Male,Manufacturing,1126.9
2014,Total,Male,"Electricity, Gas, Water and Waste Services",1441.1
2014,Total,Male,Construction,1204
2014,Total,Male,Wholesale Trade,1067.4
2014,Total,Male,Retail Trade,800
2014,Total,Male,Accommodation and Food Services,550
2014,Total,Male,"Transport, Postal and Warehousing",1200
2014,Total,Male,Information Media and Telecommunications,1428.8
2014,Total,Male,Financial and Insurance Services,1634.7
2014,Total,Male,"Rental, Hiring and Real Estate Services",1404.9
2014,Total,Male,"Professional, Scientific and Technical Services",1578.3
2014,Total,Male,Administrative and Support Services,982.6
2014,Total,Male,Public Administration and Safety,1400
2014,Total,Male,Education and Training,1302.5
2014,Total,Male,Health Care and Social Assistance,1150
2014,Total,Male,Arts and Recreation Services,800
2014,Total,Male,Other Services,1075.1
2014,Total,Female,"Agriculture, Forestry and Fishing",549.8
2014,Total,Female,Mining,1430.1
2014,Total,Female,Manufacturing,839.8
2014,Total,Female,"Electricity, Gas, Water and Waste Services",1208.3
2014,Total,Female,Construction,850
2014,Total,Female,Wholesale Trade,950
2014,Total,Female,Retail Trade,511.7
2014,Total,Female,Accommodation and Food Services,450
2014,Total,Female,"Transport, Postal and Warehousing",974.7
2014,Total,Female,Information Media and Telecommunications,1103.4
2014,Total,Female,Financial and Insurance Services,1000
2014,Total,Female,"Rental, Hiring and Real Estate Services",900
2014,Total,Female,"Professional, Scientific and Technical Services",1058
2014,Total,Female,Administrative and Support Services,787
2014,Total,Female,Public Administration and Safety,1168
2014,Total,Female,Education and Training,974
2014,Total,Female,Health Care and Social Assistance,865.7
2014,Total,Female,Arts and Recreation Services,547.9
2014,Total,Female,Other Services,650
2015,New South Wales,Male,"Agriculture, Forestry and Fishing",815.1
2015,New South Wales,Male,Mining,2133.9
2015,New South Wales,Male,Manufacturing,1150
2015,New South Wales,Male,"Electricity, Gas, Water and Waste Services",1447.4
2015,New South Wales,Male,Construction,1200
2015,New South Wales,Male,Wholesale Trade,1150.2
2015,New South Wales,Male,Retail Trade,850
2015,New South Wales,Male,Accommodation and Food Services,750
2015,New South Wales,Male,"Transport, Postal and Warehousing",1150
2015,New South Wales,Male,Information Media and Telecommunications,1687.2
2015,New South Wales,Male,Financial and Insurance Services,1726
2015,New South Wales,Male,"Rental, Hiring and Real Estate Services",1566
2015,New South Wales,Male,"Professional, Scientific and Technical Services",1534
2015,New South Wales,Male,Administrative and Support Services,1100
2015,New South Wales,Male,Public Administration and Safety,1502.8
2015,New South Wales,Male,Education and Training,1353.4
2015,New South Wales,Male,Health Care and Social Assistance,1304.1
2015,New South Wales,Male,Arts and Recreation Services,850
2015,New South Wales,Male,Other Services,908.6
2015,New South Wales,Female,"Agriculture, Forestry and Fishing",750
2015,New South Wales,Female,Mining,0
2015,New South Wales,Female,Manufacturing,900
2015,New South Wales,Female,"Electricity, Gas, Water and Waste Services",0
2015,New South Wales,Female,Construction,879.5
2015,New South Wales,Female,Wholesale Trade,993.7
2015,New South Wales,Female,Retail Trade,558.9
2015,New South Wales,Female,Accommodation and Food Services,463.6
2015,New South Wales,Female,"Transport, Postal and Warehousing",903.5
2015,New South Wales,Female,Information Media and Telecommunications,1050
2015,New South Wales,Female,Financial and Insurance Services,1240.5
2015,New South Wales,Female,"Rental, Hiring and Real Estate Services",904
2015,New South Wales,Female,"Professional, Scientific and Technical Services",1150
2015,New South Wales,Female,Administrative and Support Services,900
2015,New South Wales,Female,Public Administration and Safety,1020.8
2015,New South Wales,Female,Education and Training,1107.8
2015,New South Wales,Female,Health Care and Social Assistance,900
2015,New South Wales,Female,Arts and Recreation Services,811.7
2015,New South Wales,Female,Other Services,650
2015,Victoria,Male,"Agriculture, Forestry and Fishing",874.7
2015,Victoria,Male,Mining,0
2015,Victoria,Male,Manufacturing,1104.2
2015,Victoria,Male,"Electricity, Gas, Water and Waste Services",1600
2015,Victoria,Male,Construction,1200
2015,Victoria,Male,Wholesale Trade,1100
2015,Victoria,Male,Retail Trade,800
2015,Victoria,Male,Accommodation and Food Services,500
2015,Victoria,Male,"Transport, Postal and Warehousing",1150.5
2015,Victoria,Male,Information Media and Telecommunications,1896.5
2015,Victoria,Male,Financial and Insurance Services,1630
2015,Victoria,Male,"Rental, Hiring and Real Estate Services",1168.2
2015,Victoria,Male,"Professional, Scientific and Technical Services",1400
2015,Victoria,Male,Administrative and Support Services,920
2015,Victoria,Male,Public Administration and Safety,1500
2015,Victoria,Male,Education and Training,1244.1
2015,Victoria,Male,Health Care and Social Assistance,1250
2015,Victoria,Male,Arts and Recreation Services,785.3
2015,Victoria,Male,Other Services,996.5
2015,Victoria,Female,"Agriculture, Forestry and Fishing",0
2015,Victoria,Female,Mining,0
2015,Victoria,Female,Manufacturing,860.1
2015,Victoria,Female,"Electricity, Gas, Water and Waste Services",0
2015,Victoria,Female,Construction,1098.4
2015,Victoria,Female,Wholesale Trade,807.3
2015,Victoria,Female,Retail Trade,500.4
2015,Victoria,Female,Accommodation and Food Services,350
2015,Victoria,Female,"Transport, Postal and Warehousing",892.4
2015,Victoria,Female,Information Media and Telecommunications,986.8
2015,Victoria,Female,Financial and Insurance Services,1109.4
2015,Victoria,Female,"Rental, Hiring and Real Estate Services",1065.9
2015,Victoria,Female,"Professional, Scientific and Technical Services",1000
2015,Victoria,Female,Administrative and Support Services,751.6
2015,Victoria,Female,Public Administration and Safety,1100
2015,Victoria,Female,Education and Training,999.6
2015,Victoria,Female,Health Care and Social Assistance,800
2015,Victoria,Female,Arts and Recreation Services,574.5
2015,Victoria,Female,Other Services,693.5
2015,Queensland,Male,"Agriculture, Forestry and Fishing",1135.5
2015,Queensland,Male,Mining,2264
2015,Queensland,Male,Manufacturing,1100
2015,Queensland,Male,"Electricity, Gas, Water and Waste Services",1543.6
2015,Queensland,Male,Construction,1246
2015,Queensland,Male,Wholesale Trade,1153.9
2015,Queensland,Male,Retail Trade,727.5
2015,Queensland,Male,Accommodation and Food Services,441.3
2015,Queensland,Male,"Transport, Postal and Warehousing",1150.5
2015,Queensland,Male,Information Media and Telecommunications,1190.6
2015,Queensland,Male,Financial and Insurance Services,1536.8
2015,Queensland,Male,"Rental, Hiring and Real Estate Services",1500
2015,Queensland,Male,"Professional, Scientific and Technical Services",1538.3
2015,Queensland,Male,Administrative and Support Services,900
2015,Queensland,Male,Public Administration and Safety,1400
2015,Queensland,Male,Education and Training,1448.8
2015,Queensland,Male,Health Care and Social Assistance,1110.9
2015,Queensland,Male,Arts and Recreation Services,1111.2
2015,Queensland,Male,Other Services,1200
2015,Queensland,Female,"Agriculture, Forestry and Fishing",594.9
2015,Queensland,Female,Mining,0
2015,Queensland,Female,Manufacturing,898.9
2015,Queensland,Female,"Electricity, Gas, Water and Waste Services",0
2015,Queensland,Female,Construction,1050.6
2015,Queensland,Female,Wholesale Trade,842.6
2015,Queensland,Female,Retail Trade,604.1
2015,Queensland,Female,Accommodation and Food Services,513.5
2015,Queensland,Female,"Transport, Postal and Warehousing",903.1
2015,Queensland,Female,Information Media and Telecommunications,1259.3
2015,Queensland,Female,Financial and Insurance Services,1124.6
2015,Queensland,Female,"Rental, Hiring and Real Estate Services",1198.7
2015,Queensland,Female,"Professional, Scientific and Technical Services",1046.6
2015,Queensland,Female,Administrative and Support Services,780.6
2015,Queensland,Female,Public Administration and Safety,1150
2015,Queensland,Female,Education and Training,976.7
2015,Queensland,Female,Health Care and Social Assistance,941.6
2015,Queensland,Female,Arts and Recreation Services,335.5
2015,Queensland,Female,Other Services,810
2015,South Australia,Male,"Agriculture, Forestry and Fishing",831
2015,South Australia,Male,Mining,2296.8
2015,South Australia,Male,Manufacturing,1100.8
2015,South Australia,Male,"Electricity, Gas, Water and Waste Services",1776.4
2015,South Australia,Male,Construction,1150
2015,South Australia,Male,Wholesale Trade,1163.2
2015,South Australia,Male,Retail Trade,704.8
2015,South Australia,Male,Accommodation and Food Services,516.3
2015,South Australia,Male,"Transport, Postal and Warehousing",1200
2015,South Australia,Male,Information Media and Telecommunications,1173.7
2015,South Australia,Male,Financial and Insurance Services,1322.6
2015,South Australia,Male,"Rental, Hiring and Real Estate Services",0
2015,South Australia,Male,"Professional, Scientific and Technical Services",1504.1
2015,South Australia,Male,Administrative and Support Services,1011.6
2015,South Australia,Male,Public Administration and Safety,1452.4
2015,South Australia,Male,Education and Training,1488.8
2015,South Australia,Male,Health Care and Social Assistance,996.3
2015,South Australia,Male,Arts and Recreation Services,0
2015,South Australia,Male,Other Services,1000
2015,South Australia,Female,"Agriculture, Forestry and Fishing",0
2015,South Australia,Female,Mining,0
2015,South Australia,Female,Manufacturing,863.5
2015,South Australia,Female,"Electricity, Gas, Water and Waste Services",0
2015,South Australia,Female,Construction,0
2015,South Australia,Female,Wholesale Trade,0
2015,South Australia,Female,Retail Trade,444.8
2015,South Australia,Female,Accommodation and Food Services,440.5
2015,South Australia,Female,"Transport, Postal and Warehousing",0
2015,South Australia,Female,Information Media and Telecommunications,0
2015,South Australia,Female,Financial and Insurance Services,1046.6
2015,South Australia,Female,"Rental, Hiring and Real Estate Services",0
2015,South Australia,Female,"Professional, Scientific and Technical Services",939
2015,South Australia,Female,Administrative and Support Services,750.9
2015,South Australia,Female,Public Administration and Safety,1180.8
2015,South Australia,Female,Education and Training,915.7
2015,South Australia,Female,Health Care and Social Assistance,879.1
2015,South Australia,Female,Arts and Recreation Services,0
2015,South Australia,Female,Other Services,870.6
2015,Western Australia,Male,"Agriculture, Forestry and Fishing",1000
2015,Western Australia,Male,Mining,2085.7
2015,Western Australia,Male,Manufacturing,1380
2015,Western Australia,Male,"Electricity, Gas, Water and Waste Services",1575.9
2015,Western Australia,Male,Construction,1334.7
2015,Western Australia,Male,Wholesale Trade,1174
2015,Western Australia,Male,Retail Trade,700
2015,Western Australia,Male,Accommodation and Food Services,690
2015,Western Australia,Male,"Transport, Postal and Warehousing",1400
2015,Western Australia,Male,Information Media and Telecommunications,0
2015,Western Australia,Male,Financial and Insurance Services,1519.7
2015,Western Australia,Male,"Rental, Hiring and Real Estate Services",0
2015,Western Australia,Male,"Professional, Scientific and Technical Services",1645.8
2015,Western Australia,Male,Administrative and Support Services,960.9
2015,Western Australia,Male,Public Administration and Safety,1500
2015,Western Australia,Male,Education and Training,1254.3
2015,Western Australia,Male,Health Care and Social Assistance,1347.6
2015,Western Australia,Male,Arts and Recreation Services,900
2015,Western Australia,Male,Other Services,1202.2
2015,Western Australia,Female,"Agriculture, Forestry and Fishing",0
2015,Western Australia,Female,Mining,1947.5
2015,Western Australia,Female,Manufacturing,804.1
2015,Western Australia,Female,"Electricity, Gas, Water and Waste Services",0
2015,Western Australia,Female,Construction,901.3
2015,Western Australia,Female,Wholesale Trade,1150.2
2015,Western Australia,Female,Retail Trade,542.5
2015,Western Australia,Female,Accommodation and Food Services,506.9
2015,Western Australia,Female,"Transport, Postal and Warehousing",963.5
2015,Western Australia,Female,Information Media and Telecommunications,0
2015,Western Australia,Female,Financial and Insurance Services,845.8
2015,Western Australia,Female,"Rental, Hiring and Real Estate Services",920
2015,Western Australia,Female,"Professional, Scientific and Technical Services",1200
2015,Western Australia,Female,Administrative and Support Services,837.1
2015,Western Australia,Female,Public Administration and Safety,1210.9
2015,Western Australia,Female,Education and Training,950
2015,Western Australia,Female,Health Care and Social Assistance,900
2015,Western Australia,Female,Arts and Recreation Services,0
2015,Western Australia,Female,Other Services,739
2015,Tasmania,Male,"Agriculture, Forestry and Fishing",883.3
2015,Tasmania,Male,Mining,0
2015,Tasmania,Male,Manufacturing,1239.5
2015,Tasmania,Male,"Electricity, Gas, Water and Waste Services",1500
2015,Tasmania,Male,Construction,1087.4
