Reference year,Region of usual residence (SA4),Occupation of main job,Male,Female
Aug-15,South Australia,Not employed,0,0
Aug-15,Western Australia,Managers,90.5,48.2
Aug-15,Western Australia,Professionals,139.7,158.8
Aug-15,Western Australia,Technicians and Trades Workers,202.3,37.4
Aug-15,Western Australia,Community and Personal Service Workers,47.6,88
Aug-15,Western Australia,Clerical and Administrative Workers,30.5,132.8
Aug-15,Western Australia,Sales Workers,39.2,72.6
Aug-15,Western Australia,Machinery Operators and Drivers,84.2,9.2
Aug-15,Western Australia,Labourers,94.6,38.7
Aug-15,Western Australia,Not employed,0,0
Aug-15,Tasmania,Managers,18.1,10.6
Aug-15,Tasmania,Professionals,21.1,25.1
Aug-15,Tasmania,Technicians and Trades Workers,30.4,4.8
Aug-15,Tasmania,Community and Personal Service Workers,8.7,20.1
Aug-15,Tasmania,Clerical and Administrative Workers,7.9,25.6
Aug-15,Tasmania,Sales Workers,10.2,14.8
Aug-15,Tasmania,Machinery Operators and Drivers,15.9,1.1
Aug-15,Tasmania,Labourers,18,11
Aug-15,Tasmania,Not employed,0,0
Aug-15,Northern Territory,Managers,9.5,6.3
Aug-15,Northern Territory,Professionals,10.6,14.3
Aug-15,Northern Territory,Technicians and Trades Workers,21.4,2.7
Aug-15,Northern Territory,Community and Personal Service Workers,5,10.5
Aug-15,Northern Territory,Clerical and Administrative Workers,4.3,14.4
Aug-15,Northern Territory,Sales Workers,3.5,5.5
Aug-15,Northern Territory,Machinery Operators and Drivers,9.4,0.9
Aug-15,Northern Territory,Labourers,7.3,4.5
Aug-15,Northern Territory,Not employed,0,0
Aug-15,Australian Capital Territory,Managers,18,12.2
Aug-15,Australian Capital Territory,Professionals,30.6,37
Aug-15,Australian Capital Territory,Technicians and Trades Workers,21.3,3.1
Aug-15,Australian Capital Territory,Community and Personal Service Workers,7.1,9.5
Aug-15,Australian Capital Territory,Clerical and Administrative Workers,13.4,29.3
Aug-15,Australian Capital Territory,Sales Workers,4.3,8.7
Aug-15,Australian Capital Territory,Machinery Operators and Drivers,2.7,0
Aug-15,Australian Capital Territory,Labourers,9.8,4.6
Aug-15,Australian Capital Territory,Not employed,0,0
Aug-15,Total,Managers,973,574.6
Aug-15,Total,Professionals,1274,1457
Aug-15,Total,Technicians and Trades Workers,1457.4,247.9
Aug-15,Total,Community and Personal Service Workers,394.1,826.6
Aug-15,Total,Clerical and Administrative Workers,405.8,1202.8
Aug-15,Total,Sales Workers,418.2,687.7
Aug-15,Total,Machinery Operators and Drivers,656.6,74.5
Aug-15,Total,Labourers,729.9,363.3
Aug-15,Total,Not employed,0,0
Aug-16,New South Wales,Managers,306.7,165.8
Aug-16,New South Wales,Professionals,455.4,538.7
Aug-16,New South Wales,Technicians and Trades Workers,409.1,68.8
Aug-16,New South Wales,Community and Personal Service Workers,132.1,276.8
Aug-16,New South Wales,Clerical and Administrative Workers,156.1,393.7
Aug-16,New South Wales,Sales Workers,131.5,181.9
Aug-16,New South Wales,Machinery Operators and Drivers,214.2,19.5
Aug-16,New South Wales,Labourers,230.9,121.4
Aug-16,New South Wales,Not employed,0,0
Aug-16,Victoria,Managers,267.8,154.1
Aug-16,Victoria,Professionals,341.8,392.3
Aug-16,Victoria,Technicians and Trades Workers,354,64.7
Aug-16,Victoria,Community and Personal Service Workers,106,220.1
Aug-16,Victoria,Clerical and Administrative Workers,125.6,306
Aug-16,Victoria,Sales Workers,111.4,175
Aug-16,Victoria,Machinery Operators and Drivers,167.2,17
Aug-16,Victoria,Labourers,210.8,97.6
Aug-16,Victoria,Not employed,0,0
Aug-16,Queensland,Managers,176.8,98.9
Aug-16,Queensland,Professionals,224.6,291.6
Aug-16,Queensland,Technicians and Trades Workers,308.4,57.4
Aug-16,Queensland,Community and Personal Service Workers,68.5,169.3
Aug-16,Queensland,Clerical and Administrative Workers,65.2,272.7
Aug-16,Queensland,Sales Workers,93.3,119.3
Aug-16,Queensland,Machinery Operators and Drivers,141.2,14.7
Aug-16,Queensland,Labourers,157.8,76.1
Aug-16,Queensland,Not employed,0,0
Aug-16,South Australia,Managers,65.9,37
Aug-16,South Australia,Professionals,74.8,89.8
Aug-16,South Australia,Technicians and Trades Workers,93.5,16.6
Aug-16,South Australia,Community and Personal Service Workers,27.1,66.3
Aug-16,South Australia,Clerical and Administrative Workers,23.7,83.6
Aug-16,South Australia,Sales Workers,29.5,54
Aug-16,South Australia,Machinery Operators and Drivers,46.7,3.3
Aug-16,South Australia,Labourers,66.5,31.4
Aug-16,South Australia,Not employed,0,0
Aug-16,Western Australia,Managers,103.5,50.8
Aug-16,Western Australia,Professionals,122.3,151.2
Aug-16,Western Australia,Technicians and Trades Workers,176,33.3
Aug-16,Western Australia,Community and Personal Service Workers,39.7,102.6
Aug-16,Western Australia,Clerical and Administrative Workers,42.6,120.3
Aug-16,Western Australia,Sales Workers,34.9,77.3
Aug-16,Western Australia,Machinery Operators and Drivers,91.7,9.6
Aug-16,Western Australia,Labourers,86.6,44
Aug-16,Western Australia,Not employed,0,0
Aug-16,Tasmania,Managers,16.9,11.5
Aug-16,Tasmania,Professionals,20.6,22
Aug-16,Tasmania,Technicians and Trades Workers,34.8,6.3
Aug-16,Tasmania,Community and Personal Service Workers,7.2,22.5
Aug-16,Tasmania,Clerical and Administrative Workers,7.1,24.1
Aug-16,Tasmania,Sales Workers,9,11.3
Aug-16,Tasmania,Machinery Operators and Drivers,11.5,1.6
Aug-16,Tasmania,Labourers,17.8,11.8
Aug-16,Tasmania,Not employed,0,0
Aug-16,Northern Territory,Managers,9.8,6
Aug-16,Northern Territory,Professionals,11.2,15.5
Aug-16,Northern Territory,Technicians and Trades Workers,19.8,3.4
Aug-16,Northern Territory,Community and Personal Service Workers,7.5,9.5
Aug-16,Northern Territory,Clerical and Administrative Workers,4.9,14.5
Aug-16,Northern Territory,Sales Workers,3.3,5.8
Aug-16,Northern Territory,Machinery Operators and Drivers,7.1,0.6
Aug-16,Northern Territory,Labourers,6.7,3.2
Aug-16,Northern Territory,Not employed,0,0
Aug-16,Australian Capital Territory,Managers,16.4,11.1
Aug-16,Australian Capital Territory,Professionals,37.6,39.1
Aug-16,Australian Capital Territory,Technicians and Trades Workers,18.7,3.8
Aug-16,Australian Capital Territory,Community and Personal Service Workers,9.1,12.3
Aug-16,Australian Capital Territory,Clerical and Administrative Workers,14.7,29.7
Aug-16,Australian Capital Territory,Sales Workers,5.3,6.8
Aug-16,Australian Capital Territory,Machinery Operators and Drivers,3.5,0
Aug-16,Australian Capital Territory,Labourers,6.5,3.6
Aug-16,Australian Capital Territory,Not employed,0,0
Aug-16,Total,Managers,965.9,539.4
Aug-16,Total,Professionals,1287.8,1542.1
Aug-16,Total,Technicians and Trades Workers,1414.9,256.2
Aug-16,Total,Community and Personal Service Workers,397.8,875.9
Aug-16,Total,Clerical and Administrative Workers,440.3,1248.9
Aug-16,Total,Sales Workers,415.3,634
Aug-16,Total,Machinery Operators and Drivers,683.3,71.7
Aug-16,Total,Labourers,785.4,386.9
Aug-16,Total,Not employed,0,0
Aug-17,New South Wales,Managers,311.2,187.6
Aug-17,New South Wales,Professionals,468.9,538.1
Aug-17,New South Wales,Technicians and Trades Workers,440.3,75.2
Aug-17,New South Wales,Community and Personal Service Workers,125,248.5
Aug-17,New South Wales,Clerical and Administrative Workers,132.1,386.3
Aug-17,New South Wales,Sales Workers,138.4,218.1
Aug-17,New South Wales,Machinery Operators and Drivers,228,24.9
Aug-17,New South Wales,Labourers,221.9,131.3
Aug-17,New South Wales,Not employed,0,0
Aug-17,Victoria,Managers,278.8,162.4
Aug-17,Victoria,Professionals,355.5,445.9
Aug-17,Victoria,Technicians and Trades Workers,385.2,63.6
Aug-17,Victoria,Community and Personal Service Workers,92.5,233.2
Aug-17,Victoria,Clerical and Administrative Workers,102.6,303.1
Aug-17,Victoria,Sales Workers,118,163.7
Aug-17,Victoria,Machinery Operators and Drivers,173.1,21.6
Aug-17,Victoria,Labourers,203.5,92.4
Aug-17,Victoria,Not employed,0,0
Aug-17,Queensland,Managers,166.4,108.4
Aug-17,Queensland,Professionals,229.5,282.1
Aug-17,Queensland,Technicians and Trades Workers,315.5,45.6
Aug-17,Queensland,Community and Personal Service Workers,83.5,224.8
Aug-17,Queensland,Clerical and Administrative Workers,76.1,245.9
Aug-17,Queensland,Sales Workers,97,144.8
Aug-17,Queensland,Machinery Operators and Drivers,143.9,11.9
Aug-17,Queensland,Labourers,166.1,86.4
Aug-17,Queensland,Not employed,0,0
Aug-17,South Australia,Managers,65.7,38.6
Aug-17,South Australia,Professionals,76.1,90.8
Aug-17,South Australia,Technicians and Trades Workers,91.5,19.7
Aug-17,South Australia,Community and Personal Service Workers,31.4,71
Aug-17,South Australia,Clerical and Administrative Workers,30.1,87.3
Aug-17,South Australia,Sales Workers,31.9,47.3
Aug-17,South Australia,Machinery Operators and Drivers,49,3.7
Aug-17,South Australia,Labourers,62.7,31.3
Aug-17,South Australia,Not employed,0,0
Aug-17,Western Australia,Managers,98.3,56
Aug-17,Western Australia,Professionals,131.7,159.9
Aug-17,Western Australia,Technicians and Trades Workers,200.8,39.4
Aug-17,Western Australia,Community and Personal Service Workers,37,103.1
Aug-17,Western Australia,Clerical and Administrative Workers,37.7,122.5
Aug-17,Western Australia,Sales Workers,43.3,64.6
Aug-17,Western Australia,Machinery Operators and Drivers,93.1,13.1
Aug-17,Western Australia,Labourers,88.7,47.2
Aug-17,Western Australia,Not employed,0,0
Aug-17,Tasmania,Managers,19.3,11.2
Aug-17,Tasmania,Professionals,20.1,27.6
Aug-17,Tasmania,Technicians and Trades Workers,35.4,6.5
Aug-17,Tasmania,Community and Personal Service Workers,9.4,21.5
Aug-17,Tasmania,Clerical and Administrative Workers,7.6,24.5
Aug-17,Tasmania,Sales Workers,6.9,16.7
Aug-17,Tasmania,Machinery Operators and Drivers,16.3,1.5
Aug-17,Tasmania,Labourers,15.7,10.7
Aug-17,Tasmania,Not employed,0,0
Aug-17,Northern Territory,Managers,10.3,5.1
Aug-17,Northern Territory,Professionals,9.7,17.8
Aug-17,Northern Territory,Technicians and Trades Workers,18,1.3
Aug-17,Northern Territory,Community and Personal Service Workers,7.2,9.9
Aug-17,Northern Territory,Clerical and Administrative Workers,4.4,15.8
Aug-17,Northern Territory,Sales Workers,3.1,6.1
Aug-17,Northern Territory,Machinery Operators and Drivers,7.7,0.2
Aug-17,Northern Territory,Labourers,8.5,2.8
Aug-17,Northern Territory,Not employed,0,0
Aug-17,Australian Capital Territory,Managers,17.9,11.9
Aug-17,Australian Capital Territory,Professionals,40.1,40.8
Aug-17,Australian Capital Territory,Technicians and Trades Workers,17.3,3.8
Aug-17,Australian Capital Territory,Community and Personal Service Workers,10.7,16.7
Aug-17,Australian Capital Territory,Clerical and Administrative Workers,9.6,27.1
Aug-17,Australian Capital Territory,Sales Workers,6.8,9.8
Aug-17,Australian Capital Territory,Machinery Operators and Drivers,5,0.6
Aug-17,Australian Capital Territory,Labourers,7.7,3.5
Aug-17,Australian Capital Territory,Not employed,0,0
Aug-17,Total,Managers,971.5,580.3
Aug-17,Total,Professionals,1333.5,1603.7
Aug-17,Total,Technicians and Trades Workers,1507.3,255
Aug-17,Total,Community and Personal Service Workers,395.6,927
Aug-17,Total,Clerical and Administrative Workers,398.8,1214.4
Aug-17,Total,Sales Workers,443.4,669.9
Aug-17,Total,Machinery Operators and Drivers,715.8,73
Aug-17,Total,Labourers,777.9,404.9
Aug-17,Total,Not employed,0,0
Aug-18,New South Wales,Managers,336.4,187.9
Aug-18,New South Wales,Professionals,473,559
Aug-18,New South Wales,Technicians and Trades Workers,457,70.6
Aug-18,New South Wales,Community and Personal Service Workers,103.4,279.2
Aug-18,New South Wales,Clerical and Administrative Workers,143.6,424.6
Aug-18,New South Wales,Sales Workers,140.2,220.8
Aug-18,New South Wales,Machinery Operators and Drivers,220.1,23.7
Aug-18,New South Wales,Labourers,248.5,110.3
Aug-18,New South Wales,Not employed,0,0
Aug-18,Victoria,Managers,270.7,162.9
Aug-18,Victoria,Professionals,373.6,452.8
Aug-18,Victoria,Technicians and Trades Workers,407.7,66.7
Aug-18,Victoria,Community and Personal Service Workers,106.6,228.5
Aug-18,Victoria,Clerical and Administrative Workers,119.7,304.2
Aug-18,Victoria,Sales Workers,108.1,177.1
Aug-18,Victoria,Machinery Operators and Drivers,182.9,16.8
Aug-18,Victoria,Labourers,185.8,106.2
Aug-18,Victoria,Not employed,0,0
Aug-18,Queensland,Managers,178.3,98.2
Aug-18,Queensland,Professionals,225.7,298.5
Aug-18,Queensland,Technicians and Trades Workers,310.4,48.2
Aug-18,Queensland,Community and Personal Service Workers,74.1,198.1
Aug-18,Queensland,Clerical and Administrative Workers,91.6,274.8
Aug-18,Queensland,Sales Workers,77.2,146.1
Aug-18,Queensland,Machinery Operators and Drivers,171.8,19.6
Aug-18,Queensland,Labourers,167.8,87.4
Aug-18,Queensland,Not employed,0,0
Aug-18,South Australia,Managers,66.5,38.1
Aug-18,South Australia,Professionals,77.9,103.4
Aug-18,South Australia,Technicians and Trades Workers,103.3,19.4
Aug-18,South Australia,Community and Personal Service Workers,31.1,75.4
Aug-18,South Australia,Clerical and Administrative Workers,23.3,80.8
Aug-18,South Australia,Sales Workers,27.8,44.1
Aug-18,South Australia,Machinery Operators and Drivers,53.5,2.3
Aug-18,South Australia,Labourers,63.3,36
Aug-18,South Australia,Not employed,0,0
Aug-18,Western Australia,Managers,103.2,55.4
Aug-18,Western Australia,Professionals,133.5,168.1
Aug-18,Western Australia,Technicians and Trades Workers,194.5,32.9
Aug-18,Western Australia,Community and Personal Service Workers,35.3,94.6
Aug-18,Western Australia,Clerical and Administrative Workers,47.6,140.9
Aug-18,Western Australia,Sales Workers,45.1,64.9
Aug-18,Western Australia,Machinery Operators and Drivers,97.1,11.3
Aug-18,Western Australia,Labourers,82.7,48.9
Aug-18,Western Australia,Not employed,0,0
Aug-18,Tasmania,Managers,18.5,9.3
Aug-18,Tasmania,Professionals,23.1,31.5
Aug-18,Tasmania,Technicians and Trades Workers,36.1,6.4
Aug-18,Tasmania,Community and Personal Service Workers,8.7,24.4
Aug-18,Tasmania,Clerical and Administrative Workers,8.6,22.7
Aug-18,Tasmania,Sales Workers,7.1,14.2
Aug-18,Tasmania,Machinery Operators and Drivers,13.7,1.7
Aug-18,Tasmania,Labourers,18.9,12.3
Aug-18,Tasmania,Not employed,0,0
Aug-18,Northern Territory,Managers,9.3,7.7
Aug-18,Northern Territory,Professionals,9.4,13.6
Aug-18,Northern Territory,Technicians and Trades Workers,20.5,2.7
Aug-18,Northern Territory,Community and Personal Service Workers,6.4,9
Aug-18,Northern Territory,Clerical and Administrative Workers,3.8,15
Aug-18,Northern Territory,Sales Workers,2.6,5
Aug-18,Northern Territory,Machinery Operators and Drivers,5.8,0.6
Aug-18,Northern Territory,Labourers,8.8,5.2
Aug-18,Northern Territory,Not employed,0,0
Aug-18,Australian Capital Territory,Managers,19.7,15.5
Aug-18,Australian Capital Territory,Professionals,37.4,36
Aug-18,Australian Capital Territory,Technicians and Trades Workers,20.7,4.8
Aug-18,Australian Capital Territory,Community and Personal Service Workers,8.2,14.9
Aug-18,Australian Capital Territory,Clerical and Administrative Workers,13.4,26.8
Aug-18,Australian Capital Territory,Sales Workers,5.7,11.4
Aug-18,Australian Capital Territory,Machinery Operators and Drivers,6.7,0.8
Aug-18,Australian Capital Territory,Labourers,9.1,4.5
Aug-18,Australian Capital Territory,Not employed,0,0
Aug-18,Total,Managers,1001.1,575.2
Aug-18,Total,Professionals,1351.5,1660.3
Aug-18,Total,Technicians and Trades Workers,1550.8,250.1
Aug-18,Total,Community and Personal Service Workers,375.6,923
Aug-18,Total,Clerical and Administrative Workers,452.8,1290.6
Aug-18,Total,Sales Workers,412.3,682.2
Aug-18,Total,Machinery Operators and Drivers,750.3,79.2
Aug-18,Total,Labourers,788.2,411
Aug-18,Total,Not employed,0,0
Aug-19,New South Wales,Managers,310.4,198.4
Aug-19,New South Wales,Professionals,514.6,583.6
Aug-19,New South Wales,Technicians and Trades Workers,450.7,92.6
Aug-19,New South Wales,Community and Personal Service Workers,128.9,275.9
Aug-19,New South Wales,Clerical and Administrative Workers,174.3,411.7
Aug-19,New South Wales,Sales Workers,130.2,188.5
Aug-19,New South Wales,Machinery Operators and Drivers,227.1,30.6
Aug-19,New South Wales,Labourers,254,118.3
Aug-19,New South Wales,Not employed,0,0
Aug-19,Victoria,Managers,264.6,148.4
Aug-19,Victoria,Professionals,423.8,468.1
Aug-19,Victoria,Technicians and Trades Workers,380.6,76.1
Aug-19,Victoria,Community and Personal Service Workers,95.7,269.4
Aug-19,Victoria,Clerical and Administrative Workers,123.9,301.2
Aug-19,Victoria,Sales Workers,119.2,180.9
Aug-19,Victoria,Machinery Operators and Drivers,178.2,25.9
Aug-19,Victoria,Labourers,198.3,118.5
Aug-19,Victoria,Not employed,0,0
Aug-19,Queensland,Managers,183.2,126.9
Aug-19,Queensland,Professionals,226.6,294.2
Aug-19,Queensland,Technicians and Trades Workers,313.8,55.6
Aug-19,Queensland,Community and Personal Service Workers,78.6,224.7
Aug-19,Queensland,Clerical and Administrative Workers,81.5,259.9
Aug-19,Queensland,Sales Workers,92.4,142.9
Aug-19,Queensland,Machinery Operators and Drivers,163.4,22.3
Aug-19,Queensland,Labourers,170.3,88.4
Aug-19,Queensland,Not employed,0,0
Aug-19,South Australia,Managers,58.5,35
Aug-19,South Australia,Professionals,75,101.3
Aug-19,South Australia,Technicians and Trades Workers,109.5,21
Aug-19,South Australia,Community and Personal Service Workers,25,80.8
Aug-19,South Australia,Clerical and Administrative Workers,31.4,82.5
Aug-19,South Australia,Sales Workers,29.2,45.4
Aug-19,South Australia,Machinery Operators and Drivers,53.5,4
Aug-19,South Australia,Labourers,63,42.9
Aug-19,South Australia,Not employed,0,0
Aug-19,Western Australia,Managers,84,54.5
Aug-19,Western Australia,Professionals,153.3,182.3
Aug-19,Western Australia,Technicians and Trades Workers,184.3,33.9
Aug-19,Western Australia,Community and Personal Service Workers,41.9,106.3
Aug-19,Western Australia,Clerical and Administrative Workers,47,136.2
Aug-19,Western Australia,Sales Workers,41.7,68.2
Aug-19,Western Australia,Machinery Operators and Drivers,110.9,12.2
Aug-19,Western Australia,Labourers,84.9,40.4
Aug-19,Western Australia,Not employed,0,0
Aug-19,Tasmania,Managers,18.7,9.8
Aug-19,Tasmania,Professionals,26.3,32.9
Aug-19,Tasmania,Technicians and Trades Workers,30.4,5.9
Aug-19,Tasmania,Community and Personal Service Workers,11.3,27.4
Aug-19,Tasmania,Clerical and Administrative Workers,8.2,21.2
Aug-19,Tasmania,Sales Workers,11,14.3
Aug-19,Tasmania,Machinery Operators and Drivers,14.8,0.9
Aug-19,Tasmania,Labourers,16.9,12.4
Aug-19,Tasmania,Not employed,0,0
Aug-19,Northern Territory,Managers,9.8,6.9
Aug-19,Northern Territory,Professionals,10.9,17.2
Aug-19,Northern Territory,Technicians and Trades Workers,14.2,2.6
Aug-19,Northern Territory,Community and Personal Service Workers,8.5,9.1
Aug-19,Northern Territory,Clerical and Administrative Workers,5.2,12.4
Aug-19,Northern Territory,Sales Workers,3.9,4.8
Aug-19,Northern Territory,Machinery Operators and Drivers,5.5,0.8
Aug-19,Northern Territory,Labourers,5.7,4.8
Aug-19,Northern Territory,Not employed,0,0
Aug-19,Australian Capital Territory,Managers,12.1,9.3
Aug-19,Australian Capital Territory,Professionals,42.6,43.3
Aug-19,Australian Capital Territory,Technicians and Trades Workers,23.7,4
Aug-19,Australian Capital Territory,Community and Personal Service Workers,9,12.4
Aug-19,Australian Capital Territory,Clerical and Administrative Workers,15.2,36.4
Aug-19,Australian Capital Territory,Sales Workers,6.5,10.1
Aug-19,Australian Capital Territory,Machinery Operators and Drivers,6.2,0
Aug-19,Australian Capital Territory,Labourers,10.9,4.3
Aug-19,Australian Capital Territory,Not employed,0,0
Aug-19,Total,Managers,940.2,591.5
Aug-19,Total,Professionals,1472,1723
Aug-19,Total,Technicians and Trades Workers,1514.7,289.2
Aug-19,Total,Community and Personal Service Workers,397.4,1004
Aug-19,Total,Clerical and Administrative Workers,485.5,1259.1
Aug-19,Total,Sales Workers,431.8,653.9
Aug-19,Total,Machinery Operators and Drivers,757,98.3
Aug-19,Total,Labourers,805.5,433.9
Aug-19,Total,Not employed,0,0
Aug-20,New South Wales,Managers,332.4,216.5
Aug-20,New South Wales,Professionals,484.7,568.7
Aug-20,New South Wales,Technicians and Trades Workers,419.2,71.9
Aug-20,New South Wales,Community and Personal Service Workers,133.4,279.2
Aug-20,New South Wales,Clerical and Administrative Workers,149.6,416.6
Aug-20,New South Wales,Sales Workers,120.5,187
Aug-20,New South Wales,Machinery Operators and Drivers,207.3,26
Aug-20,New South Wales,Labourers,244.1,100.3
Aug-20,New South Wales,Not employed,0,0
Aug-20,Victoria,Managers,285.7,157.7
Aug-20,Victoria,Professionals,413.9,486.8
Aug-20,Victoria,Technicians and Trades Workers,379,71.2
Aug-20,Victoria,Community and Personal Service Workers,74,199.4
Aug-20,Victoria,Clerical and Administrative Workers,132.2,299.4
Aug-20,Victoria,Sales Workers,116.4,147.3
Aug-20,Victoria,Machinery Operators and Drivers,158.7,26.5
Aug-20,Victoria,Labourers,166.6,99.4
Aug-20,Victoria,Not employed,0,0
Aug-20,Queensland,Managers,179.5,120
Aug-20,Queensland,Professionals,245.3,355.9
