Applicant_Type,Employee_Income_Persons,Employee_Income_Total,Employee_Income_Median,Unincorporated_Business_Income_Persons,Unincorporated_Business_Income_Total,Unincorporated_Business_Income_Median,Investment_Income_Persons,Investment_Income_Total,Investment_Income_Median,Other_Income_Persons,Other_Income_Total,Other_Income_Median,Total_Income_Persons,Total_Income_Total,Total_Income_Median
Secondary applicant ,,,,,,,,,,,,,,,
Skilled,239596.0,11773909.0,40509.0,31428.0,670909.0,10306.0,175141.0,515709.0,73.0,11027.0,104277.0,1294.0,276076.0,13065363.0,37434.0
Family,38242.0,1257800.0,27127.0,4591.0,84270.0,15183.0,23952.0,76854.0,96.0,2611.0,36144.0,8726.0,46074.0,1455437.0,25126.0
Humanitarian,36702.0,1166185.0,25924.0,6657.0,120945.0,14523.0,14540.0,18248.0,30.0,852.0,8555.0,146.0,41690.0,1310930.0,25163.0
Other permanent,291.0,15977.0,46644.0,33.0,656.0,5226.0,169.0,959.0,35.0,24.0,264.0,2281.0,324.0,18056.0,46895.0
Provisional,124.0,3294.0,19687.0,21.0,323.0,6533.0,50.0,14.0,43.0,,,,136.0,3561.0,19962.0
Total (d),314958.0,14217109.0,37000.0,42726.0,876287.0,11620.0,213850.0,612008.0,70.0,14522.0,150093.0,1990.0,364298.0,15853858.0,34138.0
Total,,,,,,,,,,,,,,,
Skilled,532362.0,37780752.0,59309.0,78041.0,2038158.0,10387.0,405880.0,1079548.0,88.0,28863.0,313940.0,1212.0,604504.0,41219371.0,55006.0
Family,275700.0,13117966.0,39374.0,49840.0,1068117.0,15000.0,188004.0,695101.0,93.0,17610.0,265092.0,5822.0,336766.0,15147420.0,35630.0
Humanitarian,56772.0,1958385.0,30463.0,12572.0,224270.0,14188.0,22887.0,23940.0,35.0,1384.0,12329.0,227.0,66228.0,2215070.0,28094.0
Other permanent,472.0,28903.0,52158.0,64.0,1144.0,5915.0,327.0,1577.0,65.0,58.0,833.0,2445.0,545.0,32791.0,51130.0
Provisional,2180.0,51378.0,17990.0,240.0,2529.0,8280.0,823.0,365.0,33.0,20.0,102.0,2816.0,2335.0,54481.0,18195.0
Total (d),867493.0,52934658.0,49169.0,140753.0,3331884.0,12564.0,617917.0,1797411.0,86.0,47928.0,593179.0,2136.0,1010375.0,58662009.0,44951.0
Total,,,,,,,,,,,,,,,
Primary Applicant,,,,,,,,,,,,,,,
Skilled,642513.0,55494793.0,72614.0,96905.0,2798021.0,9854.0,490892.0,1015764.0,98.0,33347.0,377329.0,1023.0,709046.0,59686925.0,69085.0
Family,402947.0,20623184.0,42147.0,75269.0,1627928.0,13984.0,278305.0,1057217.0,86.0,23603.0,348276.0,3949.0,482572.0,23657860.0,38778.0
Humanitarian,37847.0,1549232.0,39074.0,15299.0,311012.0,17916.0,18155.0,18709.0,49.0,1145.0,17056.0,3188.0,49271.0,1895836.0,34838.0
Other permanent,477.0,29888.0,56721.0,94.0,1707.0,16793.0,351.0,1043.0,181.0,43.0,603.0,2520.0,570.0,33350.0,51672.0
Provisional,84180.0,1931559.0,19312.0,11332.0,131048.0,8625.0,43552.0,19791.0,35.0,1058.0,17911.0,8553.0,91609.0,2100176.0,19707.0
Total (d),1167970.0,79633345.0,54999.0,198895.0,4871250.0,12029.0,831249.0,2111519.0,84.0,59185.0,760700.0,1830.0,1333069.0,87377519.0,51193.0
Secondary applicant ,,,,,,,,,,,,,,,
Skilled,393973.0,19052319.0,40417.0,54831.0,1136914.0,10884.0,279286.0,869354.0,70.0,16624.0,155136.0,1249.0,451040.0,21213895.0,37761.0
Family,42829.0,1405029.0,26809.0,4991.0,91597.0,14960.0,26881.0,91926.0,96.0,3100.0,45072.0,8944.0,51579.0,1633883.0,25000.0
Humanitarian,41370.0,1337793.0,26399.0,7608.0,140794.0,14712.0,17188.0,20000.0,32.0,953.0,9128.0,164.0,47186.0,1504890.0,25525.0
Other permanent,406.0,21761.0,46770.0,53.0,1027.0,12005.0,249.0,1018.0,39.0,30.0,348.0,2233.0,456.0,24215.0,46163.0
Provisional,15812.0,509618.0,29565.0,3718.0,56111.0,12500.0,8255.0,2954.0,34.0,127.0,2261.0,6690.0,17641.0,570893.0,29587.0
Total (d),494394.0,22326988.0,37600.0,71194.0,1425225.0,11752.0,331858.0,986614.0,67.0,20837.0,212695.0,1846.0,567908.0,24949803.0,35186.0
Total,,,,,,,,,,,,,,,
Skilled,1036487.0,74544028.0,59304.0,151737.0,3935855.0,10256.0,770176.0,1889323.0,87.0,49972.0,533461.0,1096.0,1160089.0,80906277.0,55904.0
Family,445781.0,22028690.0,40747.0,80263.0,1718995.0,14039.0,305182.0,1149065.0,87.0,26697.0,393956.0,4775.0,534150.0,25293182.0,37413.0
Humanitarian,79213.0,2886402.0,32792.0,22904.0,451958.0,16852.0,35337.0,39412.0,40.0,2095.0,24147.0,931.0,96451.0,3399154.0,30365.0
Other permanent,885.0,51880.0,51593.0,145.0,2773.0,13887.0,604.0,1997.0,93.0,75.0,1058.0,2445.0,1031.0,57886.0,49383.0
Provisional,99988.0,2441141.0,20597.0,15052.0,187260.0,9529.0,51803.0,22899.0,35.0,1180.0,20016.0,8492.0,109249.0,2671583.0,20800.0
Total (d),1662360.0,101958763.0,49438.0,270097.0,6297046.0,11970.0,1163103.0,3097376.0,79.0,80018.0,972636.0,1835.0,1900979.0,112326486.0,45772.0
(a) Includes Superannuation and annuities and Other sources of income. Data for superannuation and annuities are understated. See Explanatory Notes for more information.,,,,,,,,,,,,,,,
(b) Excludes income from Government pensions and allowances.,,,,,,,,,,,,,,,
(c) May not equal sum of components as persons may report more than one source of income.,,,,,,,,,,,,,,,
"(d) Includes Visa stream ""Unknown"".",,,,,,,,,,,,,,,
NOTE: Data on migrants from PITMID 2016-17 may differ to data on migrants from the 2016-17 PIT dataset and the Settlement Database. See the Explanatory Notes for more details.,,,,,,,,,,,,,,,
NOTE: Cells in this table have been randomly adjusted to avoid the release of confidential data.  Discrepancies may occur between sums of the component items and totals.,,,,,,,,,,,,,,,
"© Commonwealth of Australia, 2019",,,,,,,,,,,,,,,
